player1,player2,score1,score2,round,tourneyName,eventName,date
CoOLgUy,Tilted,0,-1,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Jdjones,Sakura,2,0,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Lurry,Minish,2,0,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Superboy_,AntiThunder,2,1,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
KrillinBChillin,ChiliLion,2,0,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Lambo Xiao Long,Data Xigbar In Real Life,0,2,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
SoloMan98,Nullivoid,1,2,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Dartremix,diplohmatt,2,0,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Anklegator,Unluckythirteen,1,2,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Mst_Towelette,animal,2,1,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Lil' John Cena,Rogise,2,0,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Bayo,Ignus,1,2,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
DKB,mike_Saftig,2,0,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
UMISHO,Nupperz,2,1,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Mira,Zintai,2,1,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
KudoGio,Rat,2,1,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Petrafied,Dusty,0,2,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
K7 Showoff,Eddventure,1,2,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
CPU,Kinraiku,0,-1,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Waffe115,gravy,2,0,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Envy,Sheepy,2,0,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
defnotdylo,Goldio,2,1,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Medic,Jolak,2,0,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Nom,Bunker Pyro,1,2,Round 7,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
UMISHO,Eddventure,3,1,Grand Final,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
KudoGio,defnotdylo,1,2,Round 6,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Petrafied,CPU,1,2,Round 6,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
Mira,Waffe115,1,2,Round 6,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
K7 Showoff,Medic,2,1,Round 6,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
UMISHO,Nom,2,1,Round 6,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
DKB,Envy,2,0,Round 6,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
CoOLgUy,Nupperz,2,1,Round 6,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
