placement,name,id,char1,char2,char3,tourney,event,date
1.0,UMISHO,10270367.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
2.0,Eddventure,10272360.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
3.0,KudoGio,10273251.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
4.0,DKB,10274370.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
5.0,Zintai,10272508.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
5.0,Dusty,10271958.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
7.0,KrillinBChillin,10268046.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
7.0,Rat,10274475.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
9.0,Nupperz,10270362.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
9.0,K7 Showoff,10270363.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
9.0,defnotdylo,10267734.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
9.0,Lurry,10272430.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
13.0,Nullivoid,10257274.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
13.0,Mira,10273228.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
13.0,Waffe115,10273236.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
13.0,Envy,10273563.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
17.0,Medic,10274138.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
17.0,Jdjones,10268950.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
17.0,Mst_Towelette,10274328.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
17.0,Petrafied,10273853.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
17.0,CPU,10271159.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
17.0,Anklegator,10274335.0,Pot,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
17.0,mike_Saftig,10272934.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
17.0,Minish,10272001.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
25.0,Nom,10274261.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
25.0,SoloMan98,10273209.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
25.0,Bunker Pyro,10274487.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
25.0,Lambo Xiao Long,10268591.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
25.0,Superboy_,10271603.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
25.0,Unluckythirteen,10274449.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
25.0,Goldio,10273330.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
25.0,Sheepy,10273304.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,CoOLgUy,10259546.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,Tilted,10257858.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,Lil' John Cena,10258010.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,Rogise,10274178.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,ChiliLion,10272210.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,Jolak,10273731.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,animal,10256653.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,Sakura,10258575.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,gravy,10273668.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,Dartremix,10272751.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,diplohmatt,10273996.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,Data Xigbar In Real Life,10274321.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,Kinraiku,10273474.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,AntiThunder,10271819.0,Sin,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,Bayo,10270379.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
33.0,Ignus,10274206.0,,,,9moons-weekly-29-guilty-gear-strive-new-patch-edition,rr-to-bracket,6.11.22
1.0,UMISHO,10322167.0,,,,9moons-weekly-30-guilty-gear-strive-1,rr-to-bracket,6.18.22
2.0,Papple,10332323.0,,,,9moons-weekly-30-guilty-gear-strive-1,rr-to-bracket,6.18.22
3.0,cheryo,10337013.0,,,,9moons-weekly-30-guilty-gear-strive-1,rr-to-bracket,6.18.22
4.0,Trevor Tsu,10336435.0,,,,9moons-weekly-30-guilty-gear-strive-1,rr-to-bracket,6.18.22
5.0,K7 Showoff,10330829.0,,,,9moons-weekly-30-guilty-gear-strive-1,rr-to-bracket,6.18.22
5.0,Dusty,10333563.0,,,,9moons-weekly-30-guilty-gear-strive-1,rr-to-bracket,6.18.22
7.0,Young_Lz_23,10335667.0,,,,9moons-weekly-30-guilty-gear-strive-1,rr-to-bracket,6.18.22
