char,2200,2100,2000,1900,1800
SO,4,8,16,47,100
KY,4,11,29,63,100
MA,2,2,14,31,55
AX,0,4,13,31,64
CH,6,11,21,54,91
PO,3,6,15,32,50
FA,2,3,7,19,45
MI,2,6,15,35,79
ZA,6,11,15,44,77
RA,5,12,19,39,86
LE,1,8,16,34,63
NA,6,13,40,77,100
GI,1,4,12,28,60
AN,0,2,11,23,52
IN,2,3,11,22,52
GO,3,7,23,45,82
JC,3,4,16,33,65
HA,7,17,31,53,87
BA,0,5,15,34,91
TE,0,3,11,24,48
BI,0,2,10,17,31
SI,0,0,7,24,65
