char,2200,2100,2000,1900,1800
SO,3,8,16,43,100
KY,3,11,26,56,100
MA,2,2,13,31,55
AX,0,3,13,25,56
CH,5,9,18,49,86
PO,3,6,13,30,52
FA,1,3,8,21,45
MI,2,6,12,35,80
ZA,6,11,16,43,73
RA,3,12,20,42,82
LE,1,6,19,35,68
NA,5,13,35,77,100
GI,0,4,14,28,63
AN,0,2,10,20,48
IN,2,3,12,22,51
GO,3,7,26,46,82
JC,3,4,13,34,63
HA,6,17,31,49,79
BA,2,5,14,34,88
TE,0,2,10,25,46
BI,0,3,9,17,32
SI,0,0,6,26,67
