player tournament placement char
Zippy ECT2022 5 Ky
Shine ECT2022 5 Baiken
Diaphone ECT2022 7 Bridget
Kizzie_Kay ECT2022 7 Bridget
Kizzie_Kay ECT2022 7 Ky
Solstice ECT2022 9 Ram
Idom ECT2022 9 Ino
Nitro ECT2022 9 Jacko
MFCR ECT2022 9 Leo
S(Cam)bolini ECT2022 13 Ky
Aneema ECT2022 13 Ram
Kazam ECT2022 13 Millia
Snixy ECT2022 13 Zato
NBNHMR CEOtaku2022 1 Nago
Bean CEOtaku2022 2 Chipp
Razzo CEOtaku2022 3 Leo
Leffen CEOtaku2022 4 Happy
Jonathan_Tene CEOtaku2022 5 Zato
ApologyMan CEOtaku2022 5 Faust
TempestNYC CEOtaku2022 7 Leo
Zando CEOtaku2022 7 Ram
Testyourluck CEOtaku2022 9 Nago
Hotashi CEOtaku2022 9 Nago
MysticSmash CEOtaku2022 9 Axl
Umisho CEOtaku2022 9 Happy
MFCR CEOtaku2022 13 Leo
Supernoon CEOtaku2022 13 Ram
Punk CEOtaku2022 13 Sol
Solstice CEOtaku2022 13 Ram
Gobou RevMajor2022 1 Gold
Gobou RevMajor2022 1 Zato
Jiro RevMajor2022 2 Anji
Pochi_the_Dog RevMajor2022 3 Axl
ThatDog RevMajor2022 4 Sol
Tyurara RevMajor2022 5 Ky
Seo RevMajor2022 5 Happy
Psychrosis RevMajor2022 7 Happy
Zeidge RevMajor2022 7 Nago
Zando Mixup2022 1 Ram
Latif Mixup2022 2 Zato
Leffen Mixup2022 3 Happy
Skyll Mixup2022 4 Baiken
Skyll Mixup2022 4 Sol
Skyll Mixup2022 4 Ky
Jetstream Mixup2022 5 Nago
MysticSmash Mixup2022 5 Axl
Pinhead Mixup2022 7 Axl
Verix777 Mixup2022 7 Nago
Orochi_Haohmaru Mixup2022 9 Nago
Neos Mixup2022 9 Leo
Uriel_Legion Mixup2022 9 Nago
TryKeazer Mixup2022 9 Sol
Patachu Mixup2022 13 Chipp
Kanza Mixup2022 13 Ky
Element Mixup2022 13 Baiken
Xandere Mixup2022 13 Ram
Mocchi FighersSpirit2022 1 Sol
DarkNecro FighersSpirit2022 2 Nago
Daru_I-No FighersSpirit2022 3 Ino
Umaaman FighersSpirit2022 4 Ram
Umaaman FighersSpirit2022 4 Baiken
Tyurara FighersSpirit2022 5 Ky
ApologyMan FighersSpirit2022 5 Faust
early_type FighersSpirit2022 7 Chipp
Jonathan_Tene FighersSpirit2022 7 Zato
Leo FighersSpirit2022 9 Faust
BNBBN FighersSpirit2022 9 Sol
SimpleLife FighersSpirit2022 9 Millia
Supernoon FighersSpirit2022 9 Ram
Jiro FighersSpirit2022 13 Anji
Blastor FighersSpirit2022 13 Ky
ThatDog FighersSpirit2022 13 Sol
[][][] FighersSpirit2022 13 Axl
Ty ARCRevoJapan2022 1 Gio
Ty ARCRevoJapan2022 1 Chipp
Gobou ARCRevoJapan2022 2 Gold
Gobou ARCRevoJapan2022 2 Zato
[Redacted] ARCRevoJapan2022 3 Zato
Mocchi ARCRevoJapan2022 4 Sol
Dempa ARCRevoJapan2022 5 Gio
DarkNecro ARCRevoJapan2022 5 Nago
Mugi ARCRevoJapan2022 7 Nago
Gesui ARCRevoJapan2022 7 Leo
Consomme ARCRevoJapan2022 9 Pot
Nidaime_Gen-Eijin ARCRevoJapan2022 9 Jacko
Daru_I-No ARCRevoJapan2022 9 Ino
Umaaman ARCRevoJapan2022 9 Ram
YuiYui ARCRevoJapan2022 13 Happy
Ogawa ARCRevoJapan2022 13 Zato
Nage ARCRevoJapan2022 13 Faust
Naoto ARCRevoJapan2022 13 Happy
TempestNYC FrostryFaustings 1 Leo
Latif FrostryFaustings 2 Zato
AaronDamac FrostryFaustings 3 Leo
AaronDamac FrostryFaustings 3 Happy
Slash FrostryFaustings 4 May
Jonathan_Tene FrostryFaustings 5 Leo
Jonathan_Tene FrostryFaustings 5 Zato
Nbnhmr FrostryFaustings 5 Nago
Diaphone FrostryFaustings 7 Bridget
Eddventure FrostryFaustings 7 Jacko
MFCR FrostryFaustings 9 Leo
Leffen FrostryFaustings 9 HC
Stealthy FrostryFaustings 9 Axl
Darkrai FrostryFaustings 9 Gold
Nitro FrostryFaustings 13 Jacko
Bean FrostryFaustings 13 Chipp
Razzo FrostryFaustings 13 Leo
Rox FrostryFaustings 13 Bridget
OoeyGooeyChewySnickers FrostryFaustings 17 Anji
Hotashi FrostryFaustings 17 Nago
Hotashi FrostryFaustings 17 Bridget
SQ FrostryFaustings 17 Ram
Aneema FrostryFaustings 17 Ram
Zedediah FrostryFaustings 17 Millia
Rat FrostryFaustings 17 Millia
PipGaming FrostryFaustings 17 Faust
Zando FrostryFaustings 17 Ram
