,title,date,console
0,007: Quantum of Solace,2008,DS
2,10 Voor Taal,2009,DS
3,100 All-Time Favorites,2009,DS
4,100 Classic Games,2011,DS
5,100 Kiri Golf DS,2008,DS
6,1000 Bornes,2008,DS
7,1001 Crosswords,2012,DS
8,1001 Touch Games,2011,DS
9,101-in-1 Explosive Megamix,2008,DS
10,101-in-1 Sports Megamix,2010,DS
11,11 Card Games,2010,DS
12,12 Family Games,2008,DS
13,13-Sai no Hello Work DS,2008,DS
14,1500DS Spirits: Mahjong V,2009,DS
15,1500DS Spirits: Shogi V,2009,DS
16,1500DS Spirits Vol. 1: Mahjong,2007,DS
17,1500DS Spirits Vol. 2: Shogi,2007,DS
18,1500DS Spirits Vol. 3: Block Kuzushi,2007,DS
19,1500DS Spirits Vol. 4: Reversi,2007,DS
20,1500DS Spirits Vol. 5: Hanafuda,2007,DS
21,1500DS Spirits Vol. 6: Trump,2007,DS
22,1500DS Spirits Vol. 7: Chess,2007,DS
23,1500DS Spirits Vol. 8: Darts,2007,DS
24,1500DS Spirits Vol. 9: Futari-uchi Mahjong,2007,DS
25,1500DS Spirits Vol. 10: Igo,2008,DS
26,18 Classic Card Games,2010,DS
27,4 Elements,2011,DS
28,4 Elements II,2012,DS
29,4 Kyouka Perfect Clear DS: Eigo Onsei Tsuki,2012,DS
30,5-Kyuu kara 1-Kyuu Kanzen Taiou: Saishin Kako Mondai - 2-Ji Shiken Taisaku - Eiken Kanzenban,2011,DS
31,5-Nen Kanji Keisan Nigate Hunter DS,2012,DS
32,50 Classic Games,2010,DS
33,50 More Classic Games,2011,DS
34,7 Wonders II,2009,DS
35,7 Wonders of the Ancient World,2007,DS
36,7 Wonders: Treasures of Seven,2011,DS
37,700-Banjin no Atama o Yokusuru: Chou Keisan DS - 13000-Mon + Image Keisan,2009,DS
38,7th Dragon,2009,DS
39,8Ball Allstars,2009,DS
40,99 no Namida,2008,DS
41,A Witch's Tale,2009,DS
42,A-Ressha de Ikou DS,2009,DS
43,Ace Attorney Investigations: Miles Edgeworth,2009,DS
44,Actua Pool,2007,DS
45,Adi: L'Entraineur - 6e-5e,2008,DS
46,Adi: L'Entraineur - CE1-CE2,2008,DS
47,Adi: L'Entraineur - CM1-CM2,2008,DS
48,"Adi L'entraineur, Objectif Anglais DS",2008,DS
49,Adibou Aventure : J'explore le corps humain,2008,DS
50,Adibou: Je Joue a Lire et a Compter 6-7 Ans,2008,DS
51,Adibou: Je Joue avec les Lettres et les Nombres,2008,DS
52,Advance Wars: Days of Ruin,2008,DS
53,Advance Wars: Dual Strike,2005,DS
54,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,2012,DS
55,Adventures of Pinocchio,2008,DS
56,Affari tuoi,2008,DS
57,AFL Mascot Manor,2009,DS
58,Again,2009,DS
59,Agatha Christie: The ABC Murders,2009,DS
60,Age of Empires: Mythologies,2008,DS
61,Age of Empires: The Age of Kings,2006,DS
62,Aibou DS,2009,DS
63,Air Traffic Chaos,2008,DS
64,Akagawa Jirou Mystery: Tsuki no Hikari,2008,DS
65,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,2008,DS
66,Akai Ito Destiny DS,2009,DS
67,Akai Ito DS,2008,DS
68,Akko de Pon! Ikasama Hourouki,2008,DS
69,Akko ni Omakase! Brain Shock,2006,DS
70,Akogare Girls Collection: Lovely Youchien Nikki,2009,DS
71,Akogare Girls Collection: Mister Donut DS,2010,DS
72,Akogare Girls Collection: Ohanaya-San Monogatari,2011,DS
73,Akogare Girls Collection: Pika Pika Nurse Monogatari,2011,DS
74,Akogare Girls Collection: Suteki ni Nurse Days,2009,DS
75,ALC no 10-Punkan Eigo Master: Chuukyuu,2007,DS
76,ALC no 10-Punkan Eigo Master: Joukyuu,2007,DS
77,ALC no 10-Punkan Eigo Master: Shokyuu,2007,DS
78,Alex Rider: Stormbreaker,2006,DS
79,Alexandra Ledermann: Summer Camp Adventures,2009,DS
80,Alice in Wonderland,2010,DS
81,Aliens in the Attic,2009,DS
82,Aliens: Infestation,2011,DS
83,All Kamen Rider: Rider Generation,2011,DS
84,All Kamen Rider: Rider Generation 2,2012,DS
85,All Star Cheer Squad,2008,DS
86,Allez Raconte,2011,DS
87,Allied Ace Pilots,2008,DS
88,Alpha and Omega,2010,DS
89,Alssongdalssong - Myeonghwatamheom DS,2009,DS
90,Alvin and the Chipmunks,2007,DS
91,Alvin and the Chipmunks: Chipwrecked,2011,DS
92,Alvin and the Chipmunks: The Squeakquel,2009,DS
93,The Aly & AJ Adventure,2007,DS
94,Amazing Adventures: The Forgotten Ruins,2008,DS
95,The Amazing Spider-Man,2012,DS
96,America's Next Top Model,2010,DS
97,America's Next Top Model (2008),2008,DS
98,American Girl: Julie Finds a Way,2007,DS
99,American Girl: Kit Mystery Challenge,2008,DS
100,AMF Bowling Pinbusters!,2008,DS
101,Amici,2009,DS
102,Anan Kanshuu: Onna Dikara Kinkyuu Up! DS,2007,DS
103,Angel Cat Sugar,2009,DS
104,Angelique Duet,2006,DS
105,Animal Boxing,2008,DS
106,Animal Crossing: Wild World,2005,DS
107,Animal Genius,2007,DS
108,Animal Life: Africa,2011,DS
109,Animal Life: Australia,2011,DS
110,Animal Life: Dinosaurs,2009,DS
111,Animal Life: Eurasia,2009,DS
112,Animal Life: North America,2009,DS
113,Animal Paradise,2007,DS
114,Animal Paradise Wild,2009,DS
115,Animal Planet: Emergency Vets,2009,DS
116,Animal Planet: Vet Life,2009,DS
117,Animal World: Big Cats,2010,DS
118,Animal World: Dinosaurs,2010,DS
119,"Animaniacs: Lights, Camera, Action",2005,DS
120,AniMates,2007,DS
121,Ankh: Curse of the Scarab King,2008,DS
122,Anna & die Liebe,2008,DS
123,Annie M.G. Schmidt's Pluk van de Petteflet,2008,DS
124,Anno 1701: Dawn of Discovery,2007,DS
125,Another Time Another Leaf: Kagami no Naka no Tantei,2009,DS
126,Anpanman to Asobo: ABC Kyoushitsu,2008,DS
127,Anpanman to Asobo: Aiueo Kyoushitsu,2006,DS
128,Anpanman to Asobu: Aiueo Kyoushitsu DX,2009,DS
129,Anpanman to Touch de Waku Waku Training,2009,DS
130,Ant Nation,2009,DS
131,Ao-Don DS: Hanabi no Goku & Hanabi no Takumi,2009,DS
132,Apassionata: A Passionate Horse-Show - My Show,2009,DS
133,Apathy: Narugami Gakuen Toshi Densetsu Tantei Kyoku,2007,DS
134,Apollo Justice: Ace Attorney,2007,DS
135,Appare! Shogi Jiisan: Washi to Shoubu ja,2005,DS
136,Aqua Panic!,2009,DS
