,title,date,console
0,1080° Avalanche,2003,GC
1,18 Wheeler: American Pro Trucker,2002,GC
2,2002 FIFA World Cup,2002,GC
3,2006 FIFA World Cup,2006,GC
4,4x4 EVO 2,2002,GC
5,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,2004,GC
6,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,2003,GC
7,Aggressive Inline,2002,GC
8,Alien Hominid,2004,GC
9,All-Star Baseball 2002[10],2001,GC
10,All-Star Baseball 2003,2002,GC
11,All-Star Baseball 2004,2003,GC
12,Amazing Island,2004,GC
13,American Chopper 2: Full Throttle,2005,GC
14,Animal Crossing,2001,GC
15,Animaniacs: The Great Edgar Hunt,2005,GC
16,The Ant Bully,2006,GC
17,Aquaman: Battle for Atlantis,2003,GC
18,Army Men: Air Combat - The Elite Missions,2003,GC
19,Army Men RTS: Real Time Strategy,2004,GC
20,Army Men: Sarge's War,2004,GC
21,Asterix & Obelix XXLPAL,2004,GC
22,ATV: Quad Power Racing 2,2003,GC
23,Auto Modellista,2003,GC
24,Avatar: The Last Airbender,2006,GC
25,Backyard Baseball,2003,GC
26,Backyard Baseball 2007,2006,GC
27,Backyard Football,2002,GC
28,Bad Boys: Miami Takedown,2004,GC
29,Baldur's Gate: Dark Alliance,2002,GC
30,Barnyard,2006,GC
31,The Baseball 2003,2003,GC
32,Baten Kaitos: Eternal Wings and the Lost Ocean,2003,GC
33,Baten Kaitos Origins,2006,GC
34,Batman Begins,2005,GC
35,Batman: Vengeance[11],2001,GC
36,Batman: Dark Tomorrow,2003,GC
37,Batman: Rise of Sin Tzu,2003,GC
38,Battalion Wars,2005,GC
39,Battle Stadium D.O.N,2006,GC
40,Beach Spikers,2002,GC
41,Beyblade VForce: Super Tournament Battle,2002,GC
42,Beyond Good & Evil,2003,GC
43,Big Air Freestyle,2002,GC
44,Big Mutha Truckers,2003,GC
45,Billy Hatcher and the Giant Egg,2003,GC
46,Bionicle,2003,GC
47,Bionicle Heroes,2006,GC
48,Black & Bruised,2003,GC
49,Bleach GC: Tasogare Ni Mamieru Shinigami,2005,GC
50,Blood Omen 2,2002,GC
51,BloodRayne,2002,GC
52,Bloody Roar: Primal Fury,2002,GC
53,BlowOut,2003,GC
54,BMX XXX,2002,GC
55,Bobobo-bo Bo-bobo Dassutsu! Hajike Royale,2005,GC
56,Bokujou Monogatari: Shiawase no Uta,2005,GC
57,Bomberman Generation,2002,GC
58,Bomberman Jetters,2002,GC
59,Bomberman Land 2,2003,GC
60,Bratz: Forever Diamondz,2006,GC
61,Bratz: Rock Angelz,2005,GC
62,Buffy the Vampire Slayer: Chaos Bleeds,2003,GC
63,Burnout,2002,GC
64,Burnout 2: Point of Impact,2003,GC
65,Bust-a-Move 3000,2003,GC
66,Butt-Ugly Martians: Zoom or DoomPAL,2003,GC
67,Cabela's Big Game Hunter 2005 Adventures,2004,GC
68,Cabela's Dangerous Hunts 2,2005,GC
69,Cabela's Outdoor Adventures,2005,GC
70,Call of Duty 2: Big Red One,2005,GC
71,Call of Duty: Finest Hour,2004,GC
72,Capcom vs. SNK 2 EO,2002,GC
73,Captain Tsubasa: Ōgon Sedai no Chōsen,2002,GC
74,Carmen Sandiego: The Secret of the Stolen Drums,2004,GC
75,Cars,2006,GC
76,Casper: Spirit Dimensions,2002,GC
77,Catwoman,2004,GC
78,Cel Damage,2002,GC
79,Chaos Field,2005,GC
80,Charinko Hero,2003,GC
81,Charlie and the Chocolate Factory,2005,GC
82,Charlie's Angels,2003,GC
83,Chibi-Robo!,2005,GC
84,Chicken Little,2005,GC
85,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,GC
86,City Racer,2003,GC
87,Cocoto FunfairPAL,2006,GC
88,Cocoto Kart RacerPAL,2005,GC
89,Cocoto Platform JumperPAL,2004,GC
90,Codename: Kids Next Door – Operation: V.I.D.E.O.G.A.M.E.,2005,GC
91,ConanPAL,2005,GC
92,Conflict: Desert Storm,2003,GC
93,Conflict: Desert Storm II - Back to Baghdad,2004,GC
94,Crash Bandicoot: The Wrath of Cortex,2002,GC
95,Crash Nitro Kart,2003,GC
96,Crash Tag Team Racing,2005,GC
97,Crazy Taxi[12][13],2001,GC
98,Cubivore: Survival of the Fittest,2002,GC
99,Cubix Robots for Everyone: Showdown,2003,GC
100,Curious George,2006,GC
101,Custom Robo,2004,GC
102,Dakar 2: The World's Ultimate Rally,2003,GC
103,Dance Dance Revolution Mario Mix,2005,GC
104,Dark Summit,2002,GC
105,Darkened Skye,2002,GC
106,Dave Mirra Freestyle BMX 2[14],2001,GC
107,Dead to Rights,2002,GC
108,Def Jam Vendetta,2003,GC
109,Def Jam: Fight for NY,2004,GC
110,Defender,2002,GC
111,Derby Tsuku 3: Derby Uma o Tsukurou!,2003,GC
112,Die Hard: Vendetta,2002,GC
113,Digimon Rumble Arena 2,2004,GC
114,Digimon World 4,2005,GC
115,Dinotopia: The Sunstone Odyssey,2003,GC
116,Disney Sports Basketball,2002,GC
117,Disney Sports Football,2002,GC
118,Disney Sports Skateboarding,2002,GC
119,Disney Sports Soccer,2002,GC
120,Disney's Extreme Skate Adventure,2003,GC
121,Disney's Hide & Sneak,2003,GC
122,Disney's Magical Mirror Starring Mickey Mouse,2002,GC
123,Disney's Party,2002,GC
124,Disney's PK: Out of the Shadows,2002,GC
125,Disney's Tarzan: Untamed[15],2001,GC
126,Dokapon DX: Wataru Sekai wa Oni Darake,2003,GC
127,Donald Duck: Goin' Quackers,2002,GC
128,Donkey Kong Jungle Beat,2004,GC
129,Donkey Konga,2003,GC
130,Donkey Konga 2,2004,GC
131,Donkey Konga 3,2005,GC
132,Dora the Explorer: Journey to the Purple Planet,2005,GC
133,Doraemon: Minna de Asobo! Minidorando,2003,GC
134,Doshin the Giant,2002,GC
135,Doubutsu no Mori e+,2003,GC
136,Dr. Muto,2002,GC
137,Dragon Ball Z: Budokai,2003,GC
138,Dragon Ball Z: Budokai 2,2004,GC
139,Dragon Ball Z: Sagas,2005,GC
140,Dragon Drive: D-Masters Shot,2003,GC
141,Dragon's Lair 3D: Return to the Lair,2002,GC
142,DreamMix TV World Fighters,2003,GC
143,Driven,2002,GC
144,Drome Racers,2003,GC
145,Duel Masters: Nettō! Battle Arena,2003,GC
146,"Ed, Edd n Eddy: The Mis-Edventures",2005,GC
147,Egg Mania: Eggstreme Madness,2002,GC
148,Eisei Meijin VI,2002,GC
149,Enter the Matrix,2003,GC
150,ESPN International Winter Sports 2002,2002,GC
151,ESPN MLS ExtraTime 2002,2002,GC
152,Eternal Darkness: Sanity's Requiem,2002,GC
153,Evolution Skateboarding,2002,GC
154,Evolution Snowboarding,2003,GC
155,Evolution Worlds,2002,GC
156,Extreme-G 3,2001,GC
157,F-Zero GX,2003,GC
158,F1 2002,2002,GC
159,F1 Career ChallengePAL,2003,GC
160,The Fairly OddParents: Breakin' Da Rules,2003,GC
