,title,date,console
0,64 de Hakken!! Tamagotchi: Minna de Tamagotchi World,1997,N64
1,64 Hanafuda: Tenshi no Yakusoku,1999,N64
2,64 Ozumo,1997,N64
3,64 Ozumo 2,1999,N64
4,64 Trump Collection: Alice no Waku Waku Trump World,1998,N64
5,1080° Snowboarding,1998,N64
6,Aero Fighters Assault,1997,N64
7,AeroGauge,1997,N64
8,AI Shogi 3,1998,N64
9,Aidyn Chronicles: The First Mage,2001,N64
10,Air Boarder 64,1998,N64
11,All Star Tennis '99,1999,N64
12,All-Star Baseball 99,1998,N64
13,All-Star Baseball 2000,1999,N64
14,All-Star Baseball 2001,2000,N64
15,Armorines: Project S.W.A.R.M.,1999,N64
16,Army Men: Air Combat,2000,N64
17,Army Men: Sarge's Heroes,1999,N64
18,Army Men: Sarge's Heroes 2,2000,N64
19,Asteroids Hyper 64,1999,N64
20,Automobili Lamborghini,1997,N64
21,Bakuretsu Muteki Bangaiō,1999,N64
22,Bakushō Jinsei 64: Mezase! Resort Ō,1998,N64
23,Banjo-Kazooie,1998,N64
24,Banjo-Tooie,2000,N64
25,Bass Masters 2000,1999,N64
26,Bass Rush ~ECOGEAR PowerWorm Championship~,2000,N64
27,Batman Beyond: Return of the Joker,2000,N64
28,BattleTanx,1998,N64
29,BattleTanx: Global Assault,1999,N64
30,Battlezone: Rise of the Black Dogs,2000,N64
31,Beetle Adventure Racing!,1999,N64
32,Big Mountain 2000,1998,N64
33,Bio F.R.E.A.K.S.,1998,N64
34,Blast Corps,1997,N64
35,Blues Brothers 2000,2000,N64
36,Body Harvest,1998,N64
37,Bomberman 64,1997,N64
38,Bomberman 64,2001,N64
39,Bomberman 64: The Second Attack!,1999,N64
40,Bomberman Hero,1998,N64
41,Bottom of the 9th,1999,N64
42,Brunswick Circuit Pro Bowling,1999,N64
43,Buck Bumble,1998,N64
44,Bust-A-Move 2 Arcade Edition,1998,N64
45,Bust-A-Move 3 DX,1998,N64
46,California Speed,1999,N64
47,Carmageddon 64,1999,N64
48,Castlevania,1999,N64
49,Castlevania: Legacy of Darkness,1999,N64
50,Centre Court Tennis,1998,N64
51,Chameleon Twist,1997,N64
52,Chameleon Twist 2,1998,N64
53,Charlie Blast's Territory,1999,N64
54,Chopper Attack,1997,N64
55,Choro Q 64 2: Hachamecha Grand Prix Race,1999,N64
56,Chōkūkan Night: Pro Yakyū King,1996,N64
57,Chōkūkan Night: Pro Yakyū King 2,1999,N64
58,ClayFighter 63⅓,1997,N64
59,Clay Fighter Sculptor's Cut,1998,N64
60,Command & Conquer,1999,N64
61,Conker's Bad Fur Day,2001,N64
62,Cruis'n Exotica,2000,N64
63,Cruis'n USA,1996,N64
64,Cruis'n World,1998,N64
65,Custom Robo,1999,N64
66,Custom Robo V2,2000,N64
67,CyberTiger,2000,N64
68,Dance Dance Revolution Disney Dancing Museum,2000,N64
69,Dark Rift,1997,N64
70,Densha de Go! 64,1999,N64
71,Derby Stallion 64,2001,N64
72,Destruction Derby 64,1999,N64
73,Dezaemon 3D,1998,N64
74,Diddy Kong Racing,1997,N64
75,Disney's Donald Duck: Quack Attack,2000,N64
76,Disney's Tarzan,2000,N64
77,Disney/Pixar's A Bug's Life,1999,N64
78,Disney/Pixar's Toy Story 2: Buzz Lightyear to the Rescue!,1999,N64
79,Donkey Kong 64,1999,N64
80,Doom 64,1997,N64
81,Doraemon: Nobita to Mittsu no Seireiseki,1997,N64
82,Doraemon 2: Nobita to Hikari no Shinden,1998,N64
83,Doraemon 3: Nobita no Machi SOS!,2000,N64
84,Dōbutsu no Mori,2001,N64
85,Dr. Mario 64,2001,N64
86,Dual Heroes,1997,N64
87,Duck Dodgers Starring Daffy Duck,2000,N64
88,Duke Nukem 64,1997,N64
89,Duke Nukem: Zero Hour,1999,N64
90,Earthworm Jim 3D,1999,N64
91,ECW Hardcore Revolution,2000,N64
92,Eiko no Saint Andrews,1996,N64
93,Elmo's Letter Adventure,1999,N64
94,Elmo's Number Journey,1999,N64
95,Excitebike 64,2000,N64
96,Extreme-G,1997,N64
97,Extreme-G 2,1998,N64
98,F-1 World Grand Prix,1998,N64
99,F-1 World Grand Prix II,1999,N64
100,F-Zero X,1998,N64
101,F1 Pole Position 64,1997,N64
102,F1 Racing Championship,2000,N64
103,Famista 64,1997,N64
104,FIFA Soccer 64,1997,N64
105,FIFA 99,1998,N64
106,FIFA: Road to World Cup 98,1997,N64
107,Fighter Destiny 2,1999,N64
108,Fighters Destiny,1998,N64
109,Fighting Force 64,1999,N64
110,Flying Dragon,1997,N64
111,Forsaken 64,1998,N64
112,Fox Sports College Hoops '99,1998,N64
113,Fushigi no Dungeon: Fūrai no Shiren 2: Oni Shūrai! Shiren-jō!,2000,N64
114,G.A.S.P!! Fighters' NEXTream,1998,N64
115,Gauntlet Legends,1999,N64
116,Getter Love!!: Chō Renai Party Game Tanjō,1998,N64
117,Gex 3: Deep Cover Gecko,1999,N64
118,Gex 64: Enter the Gecko,1998,N64
119,Glover,1998,N64
120,Goemon Mononoke Sugoroku,1999,N64
121,Golden Nugget 64,1998,N64
122,GoldenEye 007,1997,N64
123,GT 64: Championship Edition,1998,N64
124,Hamster Monogatari 64,2001,N64
125,Harukanaru Augusta Masters '98,1997,N64
126,Harvest Moon 64,1999,N64
127,Heiwa Pachinko World 64,1997,N64
128,Hercules: The Legendary Journeys,2000,N64
129,Hexen,1997,N64
130,"Hey You, Pikachu!",1998,N64
131,Hot Wheels Turbo Racing,1999,N64
132,Hybrid Heaven,1999,N64
133,Hydro Thunder,2000,N64
134,Ide Yosuke no Mahjong Juku,2000,N64
135,Iggy's Reckin' Balls,1998,N64
136,In-Fisherman Bass Hunter 64,1999,N64
137,Indiana Jones and the Infernal Machine,2000,N64
138,Indy Racing 2000,2000,N64
139,International Superstar Soccer 64,1996,N64
140,International Superstar Soccer 98,1998,N64
141,International Superstar Soccer 2000,1999,N64
142,International Track & Field 2000,2000,N64
143,Itoi Shigesato no Bass Tsuri No. 1 Kettehan!,2000,N64
144,J-League Dynamite Soccer 64,1997,N64
145,J-League Eleven Beat 1997,1997,N64
146,J. League Live 64,1997,N64
147,J-League Tactics Soccer,1999,N64
148,Jango Simulation Mahjong-do 64,1997,N64
149,Jeopardy!,1998,N64
150,Jeremy McGrath Supercross 2000,2000,N64
151,Jet Force Gemini,1999,N64
152,Jikkyō GI Stable,1999,N64
153,Jikkyō Powerful Pro Yakyu 2000,2000,N64
154,Jikkyō Powerful Pro Yakyu 4,1997,N64
155,Jikkyō Powerful Pro Yakyu 5,1998,N64
156,Jikkyō Powerful Pro Yakyu 6,1999,N64
157,Jikkyō Powerful Pro Yakyu Basic-ban 2001,2001,N64
158,Jikkyō World Soccer 3,1997,N64
159,Jinsei Game 64,1999,N64
160,John Romero's Daikatana,2000,N64
161,Ken Griffey Jr.'s Slugfest,1999,N64
162,Killer Instinct Gold,1996,N64
163,Kira tto Kaiketsu! 64 Tanteidan,1998,N64
164,Kirby 64: The Crystal Shards,2000,N64
165,Knife Edge: Nose Gunner,1998,N64
166,Knockout Kings 2000,1999,N64
167,Kobe Bryant in NBA Courtside,1998,N64
168,Last Legion UX,1999,N64
169,The Legend of Zelda: Majora's Mask,2000,N64
170,The Legend of Zelda: Ocarina of Time,1998,N64
171,Lego Racers,1999,N64
172,Lode Runner 3-D,1999,N64
173,Mace: The Dark Age,1997,N64
174,Madden Football 64,1997,N64
175,Madden NFL 2000,1999,N64
176,Madden NFL 2001,2000,N64
177,Madden NFL 2002,2001,N64
178,Madden NFL 99,1998,N64
179,Magical Tetris Challenge,1998,N64
180,Mahjong 64,1997,N64
181,Mahjong Horoki Classic,1997,N64
182,Mahjong Master,1996,N64
183,Major League Baseball Featuring Ken Griffey Jr.,1998,N64
184,Mario Golf,1999,N64
185,Mario Kart 64,1996,N64
186,Mario no Photopi,1998,N64
187,Mario Party,1998,N64
188,Mario Party 2,1999,N64
189,Mario Party 3,2000,N64
190,Mario Tennis,2000,N64
191,Mega Man 64,2000,N64
192,Michael Owen's WLS 2000UK,2000,N64
193,Mickey's Speedway USA,2000,N64
194,Micro Machines 64 Turbo,1999,N64
195,Midway's Greatest Arcade Hits: Volume 1,2000,N64
196,Mike Piazza's Strike Zone,1998,N64
197,Milo's Astro Lanes,1998,N64
198,Mischief Makers,1997,N64
199,Mission Impossible,1998,N64
200,Monopoly,1999,N64
201,Monster Truck Madness 64,1999,N64
202,Morita Shogi 64,1998,N64
203,Mortal Kombat 4,1998,N64
204,Mortal Kombat Mythologies: Sub-Zero,1997,N64
205,Mortal Kombat Trilogy,1996,N64
206,MRC: Multi-Racing Championship,1997,N64
207,Ms. Pac-Man Maze Madness,2000,N64
208,Mystical Ninja Starring Goemon,1997,N64
209,Mystical Ninja 2 Starring Goemon,1998,N64
210,Nagano Winter Olympics '98,1997,N64
211,Namco Museum 64,1999,N64
212,NASCAR '99,1998,N64
213,NASCAR 2000,1999,N64
214,NBA Courtside 2 Featuring Kobe Bryant,1999,N64
215,NBA Hangtime,1997,N64
216,NBA In The Zone '98,1998,N64
217,NBA In The Zone '99,1999,N64
218,NBA In The Zone 2000,2000,N64
219,NBA Jam 2000,1999,N64
220,NBA Jam 99,1998,N64
221,NBA Live 2000,1999,N64
222,NBA Live 99,1998,N64
223,NBA Showtime: NBA on NBC,1999,N64
224,Neon Genesis Evangelion,1999,N64
225,The New Tetris,1999,N64
226,NFL Blitz,1998,N64
227,NFL Blitz 2000,1999,N64
228,NFL Blitz 2001,2000,N64
229,NFL Blitz Special Edition,2001,N64
230,NFL QB Club 2001,2000,N64
231,NFL Quarterback Club 2000,1999,N64
232,NFL Quarterback Club 98,1997,N64
233,NFL Quarterback Club 99,1998,N64
234,NHL 99,1998,N64
235,NHL Blades of Steel '99,1999,N64
236,NHL Breakaway 98,1998,N64
237,NHL Breakaway 99,1998,N64
238,Nightmare Creatures,1998,N64
239,Nintama Rantarō 64 Game Gallery,2000,N64
240,Nuclear Strike 64,1999,N64
241,Nushi Tsuri 64,1998,N64
242,Nushi Tsuri 64: Shiokaze Ni Notte,2000,N64
243,Off Road Challenge,1998,N64
244,Ogre Battle 64: Person of Lordly Caliber,1999,N64
245,Olympic Hockey '98,1998,N64
246,Onegai Monsters,1999,N64
247,Pachinko 365 Nichi,1998,N64
248,Paper Mario,2000,N64
249,Paperboy,1999,N64
250,Parlor! Pro 64: Pachinko Jikki Simulation,1999,N64
251,PD Ultraman Battle Collection 64,1999,N64
252,Penny Racers,1998,N64
253,Perfect Dark,2000,N64
254,PGA European Tour Golf,2000,N64
255,Pilotwings 64,1996,N64
256,Pocket Monsters Stadium,1998,N64
257,Pokémon Puzzle League,2000,N64
258,Pokémon Snap,1999,N64
259,Pokémon Stadium,1999,N64
260,Pokémon Stadium 2,2000,N64
261,Polaris SnoCross,2000,N64
262,Power League 64,1997,N64
263,Power Rangers Lightspeed Rescue,2000,N64
264,The Powerpuff Girls: Chemical X-Traction,2001,N64
265,Premier Manager 64,1999,N64
266,Pro Mahjong Kiwame 64,1997,N64
267,Pro Shinan Mahjong Tsuwamono 64: Jansō Battle ni Chōsen,1999,N64
268,Puyo Puyo Sun 64,1997,N64
269,Puyo Puyo~n Party,1999,N64
270,Quake 64,1998,N64
271,Quake II,1999,N64
272,Quest 64,1998,N64
273,Rakugakids,1998,N64
274,Racing Simulation: Monaco Grand PrixUK,1999,N64
275,Rally Challenge 2000,1999,N64
276,Rampage 2: Universal Tour,1999,N64
277,Rampage World Tour,1998,N64
278,Rat Attack!,2000,N64
279,Rayman 2: The Great Escape,1999,N64
280,Razor Freestyle Scooter,2001,N64
281,Re-Volt,1999,N64
282,Ready 2 Rumble Boxing,1999,N64
283,Ready 2 Rumble Boxing: Round 2,2000,N64
284,Resident Evil 2,1999,N64
285,Ridge Racer 64,2000,N64
286,Road Rash 64,1999,N64
287,Roadsters,1999,N64
288,Robot Ponkottsu 64: Nanatsu no Umi no Caramel,1999,N64
289,Robotron 64,1998,N64
290,Rocket: Robot on Wheels,1999,N64
291,Rugrats in Paris - The Movie,2000,N64
292,Rugrats: Scavenger Hunt,1999,N64
293,Rush 2: Extreme Racing USA,1998,N64
294,S.C.A.R.S.,1998,N64
295,Saikyō Habu Shōgi,1996,N64
296,San Francisco Rush 2049,2000,N64
297,San Francisco Rush: Extreme Racing,1997,N64
298,Scooby-Doo! Classic Creep Capers,2000,N64
299,S.D. Hiryū no Ken Twin,1999,N64
300,Shadow Man,1999,N64
301,Shadowgate 64: Trials of the Four Towers,1999,N64
302,Shin Nippon Pro Wrestling: Toukon Road - Brave Spirits,1998,N64
303,Shin Nippon Pro Wrestling: Toukon Road 2- Next Generation,1998,N64
304,Sim City 2000,1998,N64
305,Sin and Punishment,2000,N64
306,Snowboard Kids,1997,N64
307,Snowboard Kids 2,1999,N64
308,South Park,1998,N64
309,South Park Rally,2000,N64
310,South Park: Chef's Luv Shack,1999,N64
311,Space Invaders,1999,N64
312,Space Station Silicon Valley,1998,N64
313,Spider-Man,2000,N64
314,Star Fox 64,1997,N64
315,Star Soldier: Vanishing Earth,1998,N64
316,Star Wars Episode I: Battle for Naboo,2000,N64
317,Star Wars Episode I: Racer,1999,N64
318,Star Wars: Rogue Squadron,1998,N64
319,Star Wars: Shadows of the Empire,1996,N64
320,StarCraft 64,2000,N64
321,Starshot: Space Circus Fever,1998,N64
322,Stunt Racer 64,2000,N64
323,Super B-Daman: Battle Phoenix 64,1998,N64
324,Super Bowling,1999,N64
325,Super Mario 64,1996,N64
326,Super Robot Spirits,1998,N64
327,Super Robot Wars 64,1999,N64
328,Super Smash Bros.,1999,N64
329,Supercross 2000,1999,N64
330,Superman: The New Superman Adventures,1999,N64
331,Susume! Taisen Puzzle Dama: Tōkon! Marutama Chō,1998,N64
332,Taz Express,2000,N64
333,Tetris 64,1998,N64
334,Tetrisphere,1997,N64
335,Tigger's Honey Hunt,2000,N64
336,Tom Clancy's Rainbow Six,1999,N64
337,Tom and Jerry in Fists of Furry,2000,N64
338,Tonic Trouble,1999,N64
339,Tony Hawk's Pro Skater,2000,N64
340,Tony Hawk's Pro Skater 2,2001,N64
341,Tony Hawk's Pro Skater 3,2002,N64
342,Top Gear Hyper-Bike,2000,N64
343,Top Gear Overdrive,1998,N64
344,Top Gear Rally,1997,N64
345,Top Gear Rally 2,1999,N64
346,Transformers: Beast Wars Transmetals,1999,N64
347,Triple Play 2000,1999,N64
348,Turok 2: Seeds of Evil,1998,N64
349,Turok 3: Shadow of Oblivion,2000,N64
350,Turok: Dinosaur Hunter,1997,N64
351,Turok: Rage Wars,1999,N64
352,Twisted Edge Extreme Snowboarding,1998,N64
353,Ucchan Nanchan no Hono no Challenge: Denryu Ira Ira Bo,1997,N64
354,V-Rally: Edition '99,1998,N64
355,Vigilante 8,1999,N64
356,Vigilante 8: 2nd Offense,2000,N64
357,Virtual Chess 64,1998,N64
358,Virtual Pool 64,1998,N64
359,Virtual Pro Wrestling 2: Ōdō Keishō,2000,N64
360,Virtual Pro Wrestling 64,1997,N64
361,Waialae Country Club: True Golf Classics,1998,N64
362,War Gods,1997,N64
363,Wave Race 64,1996,N64
364,Wayne Gretzky's 3D Hockey,1996,N64
365,Wayne Gretzky's 3D Hockey '98,1997,N64
366,WCW Backstage Assault,2000,N64
367,WCW Mayhem,1999,N64
368,WCW Nitro,1999,N64
369,WCW vs. nWo: World Tour,1997,N64
370,WCW/nWo Revenge,1998,N64
371,Wetrix,1998,N64
372,Wheel of Fortune,1997,N64
373,WinBack: Covert Operations,1999,N64
