,title,date,console
0,"The $1,000,000 Pyramid",2011,Wii
1,007: Quantum of Solace,2008,Wii
2,10 Minute Solution,2010,Wii
3,101-in-1 Party Megamix,2009,Wii
4,101-in-1 Sports Party Megamix,2010,Wii
5,2010 FIFA World Cup South Africa,2010,Wii
6,250 Mannin no Kanken Wii de Tokoton Kanji Nou,2008,Wii
7,428: Shibuya Scramble,2008,Wii
8,ABBA: You Can Dance,2011,Wii
9,AC/DC Live: Rock Band Track Pack,2008,Wii
10,Academy of Champions: Soccer,2009,Wii
11,ACB Total 2010/2011,2011,Wii
12,Action Girlz Racing,2007,Wii
13,Active Life: Explorer,2010,Wii
14,Active Life: Extreme Challenge,2009,Wii
15,Active Life: Magical Carnival,2011,Wii
16,Active Life: Outdoor Challenge,2008,Wii
17,Adibou and Magical Seasons,2009,Wii
18,The Adventures of Tintin: The Game,2011,Wii
19,AFL,2011,Wii
20,Agatha Christie: And Then There Were None,2008,Wii
21,Agatha Christie: Evil Under the Sun,2008,Wii
22,Agent Hugo: Hula Holiday,2008,Wii
23,Agent Hugo: Lemoon Twist,2008,Wii
24,Akko de Pon! Ikasama Hourouki,2008,Wii
25,Aladdin Magic Racer,2010,Wii
26,Alan Hansen's Sports Challenge,2007,Wii
27,Alice in Wonderland,2010,Wii
28,Alien Monster Bowling League,2009,Wii
29,Alien Syndrome,2007,Wii
30,Aliens in the Attic,2009,Wii
31,All Round Hunter,2010,Wii
32,All Star Cheer Squad,2008,Wii
33,All Star Cheer Squad 2,2009,Wii
34,All Star Karate,2010,Wii
35,Alone in the Dark,2008,Wii
36,Alvin and the Chipmunks,2007,Wii
37,Alvin and the Chipmunks: Chipwrecked,2011,Wii
38,Alvin and the Chipmunks: The Squeakquel,2009,Wii
39,The Amazing Race,2010,Wii
40,The Amazing Spider-Man,2012,Wii
41,America's Next Top Model,2010,Wii
42,American Mensa Academy,2012,Wii
43,AMF Bowling Pinbusters!,2007,Wii
44,AMF Bowling World Lanes,2008,Wii
45,And-Kensaku,2010,Wii
46,Andrew Lloyd Webber Musicals: Sing and Dance,2012,Wii
47,Angry Birds Star Wars,2013,Wii
48,Angry Birds Trilogy,2013,Wii
49,Animal Crossing: City Folk,2008,Wii
50,Animal Kingdom: Wildlife Expedition,2008,Wii
51,Animal Planet: Vet Life,2009,Wii
52,Anime Slot Revolution: Pachi-Slot Kidou Senshi Gundam II – Ai Senshi Hen,2007,Wii
53,Another Code: R – A Journey into Lost Memories,2009,Wii
54,Anpanman Niko Niko Party,2010,Wii
55,The Ant Bully,2006,Wii
56,Anubis II,2007,Wii
57,Aqua Panic!,2009,Wii
58,Aquarius Baseball,2007,Wii
59,Arc Rise Fantasia,2009,Wii
60,Arcade Shooter: Ilvelo,2008,Wii
61,Arcade Shooting Gallery,2009,Wii
62,Arcade Zone,2009,Wii
63,Arctic Tale,2007,Wii
64,Are You Smarter Than a 5th Grader?: Back to School,2010,Wii
65,Are You Smarter Than a 5th Grader?: Game Time,2009,Wii
66,Are You Smarter Than a 5th Grader?: Make the Grade,2008,Wii
67,Armin van Buuren: In the Mix,2010,Wii
68,Army Men: Soldiers of Misfortune,2008,Wii
69,Army Rescue,2009,Wii
70,Around the World in 50 Games,2010,Wii
71,Ashes Cricket 2009,2009,Wii
72,Asterix at the Olympic Games,2007,Wii
73,Arthur and the Revenge of Maltazard,2010,Wii
74,Astro Boy: The Video Game,2009,Wii
75,Atrévete a Soñar,2010,Wii
76,Attack of the Movies 3D,2010,Wii
77,ATV Quad Kings,2009,Wii
78,Avatar: The Last Airbender,2006,Wii
79,Avatar: The Last Airbender – Into the Inferno,2008,Wii
80,Avatar: The Last Airbender – The Burning Earth,2007,Wii
81,B-Units: Build it!,2011,Wii
82,Baby & Me,2009,Wii
83,Babysitting Mama,2010,Wii
84,The Bachelor: The Video Game,2010,Wii
85,Babysitting Party,2008,Wii
86,Back to the Future: The Game,2011,Wii
87,Backyard Baseball '09,2008,Wii
88,Backyard Baseball '10,2009,Wii
89,Backyard Football,2007,Wii
90,Backyard Football '09,2008,Wii
91,Backyard Football '10,2009,Wii
92,Backyard Sports: Rookie Rush,2010,Wii
93,Backyard Sports: Sandlot Sluggers,2010,Wii
94,Bakugan Battle Brawlers,2009,Wii
95,Bakugan: Defenders of the Core,2010,Wii
96,Balloon Pop,2008,Wii
97,Balls of Fury,2007,Wii
98,Band Hero,2009,Wii
99,Barbie and the Three Musketeers,2009,Wii
100,Barbie and her Sisters: Puppy Rescue,2015,Wii
101,Barbie as the Island Princess,2007,Wii
102,Barbie: Dreamhouse Party,2013,Wii
103,Barbie: Groom and Glam Pups,2010,Wii
104,Barbie Horse Adventures: Riding Camp,2008,Wii
105,"Barbie: Jet, Set & Style!",2011,Wii
106,Barnyard,2006,Wii
107,Baroque,2008,Wii
108,Baseball Blast!,2009,Wii
109,Basketball Hall of Fame: Ultimate Hoops Challenge,2010,Wii
110,Bass Pro Shops: The Hunt,2010,Wii
111,Bass Pro Shops: The Hunt – Trophy Showdown,2011,Wii
112,Bass Pro Shops: The Strike,2009,Wii
113,Bass Pro Shops: The Strike – Tournament Edition,2009,Wii
114,Batman: The Brave and the Bold – The Videogame,2010,Wii
115,Battalion Wars 2,2007,Wii
116,Battle of Giants: Dinosaurs Strike,2010,Wii
117,Battle of the Bands,2008,Wii
118,Battle Rage: Mech Conflict,2008,Wii
119,Battle vs. Chess,2013,Wii
120,Battleship,2012,Wii
121,Beach Fun Summer Challenge,2009,Wii
122,Beastly,2011,Wii
123,Beat the Intro,2010,Wii
124,The Beatles: Rock Band,2009,Wii
125,Bee Movie Game,2007,Wii
126,Ben 10: Alien Force,2008,Wii
127,Ben 10 Alien Force: Vilgax Attacks,2009,Wii
128,Ben 10: Galactic Racing,2011,Wii
129,Ben 10: Omniverse,2012,Wii
130,Ben 10: Omniverse 2,2013,Wii
131,Ben 10: Protector of Earth,2007,Wii
132,Ben 10 Ultimate Alien: Cosmic Destruction,2010,Wii
133,Benjamin Blümchen: Törööö im Zoo,2012,Wii
134,Bermuda Triangle: Saving the Coral,2009,Wii
135,Beyblade: Metal Fusion – Battle Fortress,2009,Wii
136,Bibi & Tina: Das Große Reiterfest,2011,Wii
137,Bibi Blocksberg: Das grosse Hexenbesen-Rennen!,2010,Wii
138,Bibi Blocksberg: Das grosse Hexenbesen-Rennen! 2,2013,Wii
139,Bienvenue chez les Chtis,2008,Wii
140,Big Beach Sports,2008,Wii
141,Big Beach Sports 2,2010,Wii
142,Big Brain Academy: Wii Degree,2007,Wii
143,Big Buck Hunter Pro,2010,Wii
144,Big League Sports,2008,Wii
145,Big League Sports: Summer,2009,Wii
146,Big Time Rush: Dance Party,2012,Wii
147,Big Town Shoot Out,2011,Wii
148,Bigfoot: Collision Course,2008,Wii
149,Bigfoot: King of Crush,2011,Wii
150,The Biggest Loser,2009,Wii
151,The Biggest Loser: Challenge,2010,Wii
152,The Bigs,2007,Wii
153,The Bigs 2,2009,Wii
154,Billy the Wizard: Rocket Broomstick Racing,2007,Wii
155,Billy's Boot Camp: Wii de Enjoy Diet!,2011,Wii
156,Bionicle Heroes,2007,Wii
157,Birthday Party Bash,2009,Wii
158,Bit.Trip Complete,2007,Wii
159,The Black Eyed Peas Experience,2011,Wii
160,"Blast Works: Build, Trade, Destroy",2008,Wii
161,Blazing Angels: Squadrons of WWII,2007,Wii
162,Bleach: Shattered Blade,2006,Wii
163,Bleach: Versus Crusade,2008,Wii
164,Block Party,2008,Wii
165,Bob the Builder: Festival of Fun,2009,Wii
166,Bolt,2008,Wii
167,Bomberman Blast,2008,Wii
168,Bomberman Land,2007,Wii
169,Boogie,2007,Wii
170,Boogie Superstar,2008,Wii
171,Boom Blox,2008,Wii
172,Boom Blox Bash Party,2009,Wii
173,Boot Camp Academy,2009,Wii
174,A Boy and His Blob,2009,Wii
175,Bratz Girlz Really Rock!,2008,Wii
176,Bratz Kidz,2008,Wii
177,Bratz: The Movie,2007,Wii
178,Brave: A Warrior's Tale,2008,Wii
179,Broken Sword: The Shadow of the Templars – Director's Cut,2009,Wii
180,Brothers in Arms: Earned in Blood[4],2008AU,Wii
181,Brothers in Arms: Road to Hill 30[5],2008AU,Wii
182,Brunswick Pro Bowling,2007,Wii
183,Brunswick Zone Cosmic Bowling,2010,Wii
184,Buck Fever,2009,Wii
185,Build 'n Race,2009,Wii
186,Build-a-Bear Workshop: A Friend Fur All Seasons,2008,Wii
187,Build-a-Bear Workshop: Friendship Valley,2010,Wii
188,Bully: Scholarship Edition,2008,Wii
189,Burger Bot,2010,Wii
190,Burger Island,2009,Wii
191,Bust-a-Move Bash!,2007,Wii
192,Busy Scissors,2010,Wii
193,Cabela's Adventure Camp,2011,Wii
194,Cabela's African Adventures,2013,Wii
195,Cabela's Big Game Hunter,2007,Wii
196,Cabela's Big Game Hunter 2010,2009,Wii
197,Cabela's Big Game Hunter 2012,2011,Wii
198,Cabela's Dangerous Hunts 2009,2008,Wii
199,Cabela's Dangerous Hunts 2011,2010,Wii
200,Cabela's Dangerous Hunts 2013,2012,Wii
201,Cabela's Hunting Expeditions,2012,Wii
202,Cabela's Legendary Adventures,2008,Wii
203,Cabela's Monster Buck Hunter,2010,Wii
204,Cabela's North American Adventures,2010,Wii
205,Cabela's Outdoor Adventures,2009,Wii
206,Cabela's Survival: Shadows of Katmai,2011,Wii
207,Cabela's Trophy Bucks,2008,Wii
208,The Cages: Pro Style Batting Practice,2010,Wii
209,Cake Mania: In the Mix!,2008,Wii
210,Call of Duty 3,2006,Wii
211,Call of Duty: Modern Warfare — Reflex Edition,2009,Wii
212,Call of Duty: Black Ops,2010,Wii
213,Call of Duty: Modern Warfare 3,2011,Wii
214,Call of Duty: World at War,2008,Wii
215,Calling,2009,Wii
216,Calvin Tucker's Redneck: Farm Animals Racing Tournament,2010,Wii
217,Calvin Tucker's Redneck Jamboree,2008,Wii
218,Canada Hunt,2010,Wii
219,Candace Kane's Candy Factory,2008,Wii
220,Captain America: Super Soldier,2011,Wii
221,Captain Morgane and the Golden Turtle,2012,Wii
222,Captain Rainbow,2008,Wii
223,Carnival Games,2007,Wii
224,Carnival Games: Mini-Golf,2008,Wii
225,Cars,2006,Wii
226,Cars 2,2011,Wii
227,Cars Mater-National Championship,2007,Wii
228,Cars Race-O-Rama,2009,Wii
229,Cars Toon: Mater's Tall Tales,2011,Wii
230,Cartoon Network: Punch Time Explosion XL,2011,Wii
231,Casper's Scare School: Spooky Sports Day,2009,Wii
232,Castle of Shikigami III,2007,Wii
233,Castlevania Judgment,2008,Wii
234,Cate West: The Vanishing Files,2009,Wii
235,Celebrity Sports Showdown,2008,Wii
236,Centipede: Infestation,2011,Wii
237,Challenge Me: Brain Puzzles 2,2010,Wii
238,Challenge Me: Word Puzzles,2011,Wii
239,Champion Jockey: G1 Jockey & Gallop Racer,2011,Wii
240,Championship Foosball,2008,Wii
241,Chaos à La Maison,2009,Wii
242,Chaotic: Shadow Warriors,2009,Wii
243,Charm Girls Club: Pajama Party,2009,Wii
244,Cheggers' Party Quiz,2007,Wii
245,Chess Crusade,2008,Wii
246,Chevrolet Camaro: Wild Ride,2010,Wii
247,New Play Control! Chibi-Robo!,2009,Wii
248,Chicken Blaster,2009,Wii
249,Chicken Riot,2009,Wii
250,Chicken Shoot,2007,Wii
251,The Chronicles of Narnia: Prince Caspian,2008,Wii
252,Chrysler Classic Racing,2008,Wii
253,Chuck E. Cheese's Party Games,2010,Wii
254,Chuck E. Cheese's Sports Games,2011,Wii
255,Chuck E. Cheese's Super Collection,2011,Wii
256,CID The Dummy,2009,Wii
257,Circus,2010,Wii
258,Circus Games,2008,Wii
259,City Builder,2010,Wii
260,Classic British Motor Racing,2007,Wii
261,Clever Kids: Creepy Crawlies,2009,Wii
262,Clever Kids: Farmyard Fun,2009,Wii
263,Clever Kids: Pet Store,2009,Wii
264,Clever Kids: Pirates,2009,Wii
265,Cloudy with a Chance of Meatballs,2009,Wii
266,Club Penguin: Game Day!,2010,Wii
267,Cocoto Festival,2009,Wii
268,Cocoto Kart Racer,2008,Wii
269,Cocoto Kart Racer 2,2011,Wii
270,Cocoto Magic Circus,2008,Wii
271,Cocoto Surprise,2009,Wii
272,Code De La Route,2008,Wii
273,Code Lyoko: Quest for Infinity,2007,Wii
274,Cold Stone Creamery: Scoop It Up,2009,Wii
275,Combat Wings: The Great Battles of WWII,2010,Wii
276,The Conduit,2009,Wii
277,Conduit 2,2011,Wii
278,Cook Wars,2009,Wii
279,Cooking Mama: Cook Off,2007,Wii
280,Cooking Mama: World Kitchen,2008,Wii
281,Coraline,2009,Wii
282,Cosmic Family,2007,Wii
283,Countdown: The Game,2009,Wii
284,Counter Force,2007,Wii
285,Country Dance,2011,Wii
286,Country Dance 2,2011,Wii
287,Cranium Kabookii,2007,Wii
