,title,date,console
128,Kanshū Nippon Jōshikiryoku Kentei Kyōkai: Imasara Hito ni wa Kikenai Otona no Jōshikiryoku Training DS,2006,DS
129,Karasawa Shunichi no Zettai ni Ukeru!! Zatsugakuen DS,2007,DS
130,Katekyo Hitman Reborn! Bongole Shiki Taisen Battle Sugoroku!!,2008,DS
131,Katekyo Hitman Reborn! DS – Shinuki Max! Vongola Carnival!!,2007,DS
132,Katekyo Hitman Reborn DS: Fate of Heat,2008,DS
133,Katekyo Hitman Reborn! DS Fate of Heat II - Unmei no Futari,2009,DS
134,Katekyo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!,2010,DS
135,Katekyo Hitman Reborn! DS Flame Rumble Hyper - Moeyo Mirai,2008,DS
136,Katekyo Hitman Reborn! DS Flame Rumble Kaien Ring Soudatsuen!,2007,DS
137,Katekyo Hitman Reborn! DS Flame Rumble Mukuro Kyoushuu,2007,DS
138,Katekyo Hitman Reborn! DS Flame Rumble X,2009,DS
139,Katekyo Hitman Reborn! DS Flame Rumble XX - Kessen! Real 6 Chouka,2010,DS
140,Katekyo Hitman Reborn! DS: Mafia Daishuugou Bongole Festival,2008,DS
141,Katekyo Hitman Reborn! Ore ga Boss! Saikyou Family Taisen,2009,DS
142,The Kayou Generation,2009,DS
143,Kawaii Koinu DS 2,2008,DS
144,Kawaii Koinu DS 3,2010,DS
145,Kawaii Koneko DS,2008,DS
146,Kawaii Koneko DS 2,2009,DS
147,Kawaii Koneko DS 3,2010,DS
148,Keiba Navi: Uma no Suke,2006,DS
149,Keiba Navi: Uma no Suke 2,2007,DS
150,Keiji J.B. Harold no Jikenbo: Manhattan Requiem & Kiss of Murder,2008,DS
151,Keiji J.B. Harold no Jikenbo: Murder Club,2008,DS
152,Keikishi Gunzou Presents: Monoshiri Bakumatsu-Ou,2008,DS
153,Keitai Sousakan 7 DS: Buddy Sequence,2009,DS
154,Kekkaishi: Karasumori Ayakashi Kidan,2007,DS
155,Kekkaishi: Kokubourou Shuurai,2008,DS
156,Keltis,2009,DS
157,Kemeko Deluxe! DS: Yome to Meka to Otoko to Onna,2009,DS
158,Kenshūi Tendo Doctor,2004,DS
159,Kero Kero 7,2006,DS
160,Keroro Gunsou: Enshuu da Yo! Zenin Shuugou Part 2,2007,DS
161,Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,2010,DS
162,Keshikasu-Kun: Battle Kas-tival,2010,DS
163,Ketsui Death Label,2008,DS
164,Kid Paddle Blorks Invasion,2007,DS
165,Kid Paddle Lost in the Game,2008,DS
166,Kidou Gekidan Haro Ichiza Gundam Mahjong DS,2005,DS
167,Kidou Gekidan Haro Ichiza: Gundam Mahjong + Z: Sara ni Deki Ruyouni Nattana!,2007,DS
168,Kidou Senshi Gundam 00,2008,DS
169,Kids Learn 2 Think: A+ Edition,2012,DS
170,Kids Learn Math: A+ Edition,2011,DS
171,Kids Learn Music: A+ Edition,2011,DS
172,Kids Learn Spelling and Grammar: A+ Edition,2012,DS
173,Kids thinkSMART,2010,DS
174,Kikansha Thomas DS de Hajimeru Chiiku Gakushuu,2008,DS
175,Kikansha Thomas: Kokugo Sansuu Eigo,2007,DS
176,Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore,2007,DS
177,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,2007,DS
178,Kimi ni Todoke: Sodateru Omoi,2009,DS
179,Kimi ni Todoke: Tsutaeru Kimochi,2011,DS
180,Kimi no Yusha,2008,DS
181,Kimokawae!,2009,DS
182,Kindaichi Shounen no Jikenbou: Akuma no Satsujin Koukai,2009,DS
183,King of Clubs,2008,DS
184,Kingdom Hearts 358/2 Days,2009,DS
185,Kingdom Hearts Re:coded,2010,DS
