,title,date,console
0,007: Everything or Nothing,2003,GBA
1,007: Nightfire,2003,GBA
2,A Sound of Thunder,2004,GBA
3,Ace Combat Advance,2005,GBA
4,Ace Lightning,2002,GBA
5,Action Man: Robot Atak,2004,GBA
6,Activision Anthology,2003,GBA
7,Advance Guardian Heroes,2004,GBA
8,Advance Wars /Game Boy Wars Advance & Game Boy Wars Advance 2,2001,GBA
9,Advance Wars 2: Black Hole Rising,2003,GBA
10,Adventure of Tokyo Disney Sea,2001,GBA
11,The Adventures of Jimmy Neutron vs. Jimmy Negatron,2002,GBA
12,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,2004,GBA
13,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,2003,GBA
14,Aero the Acro-Bat: Rascal Rival Revenge,2002,GBA
15,Agassi Tennis Generation,2003,GBA
16,Agent Hugo: Roborumble,2007,GBA
17,Aggravation / Sorry / Scrabble Junior,2005,GBA
18,Aggressive Inline,2002,GBA
19,AirForce Delta Storm,2002,GBA
20,Aka-chan Dōbutsuen,2004,GBA
21,Akagi: Yami ni Maiorita Tensai,2006,GBA
22,Aleck Bordon Adventure: Tower and Shaft Advance,2004,GBA
23,Alex Ferguson's Player Manager 2002 UK,2002,GBA
24,Alex Rider: Stormbreaker,2006,GBA
25,Alienators: Evolution Continues,2001,GBA
26,Alien Hominid,2006,GBA
27,All Grown Up!: Express Yourself,2004,GBA
28,All-Star Baseball 2003,2002,GBA
29,All-Star Baseball 2004,2003,GBA
30,Altered Beast: Guardian of the Realms,2002,GBA
31,The Amazing Virtual Sea-Monkeys,2002,GBA
32,American Bass Challenge,2001,GBA
33,American Idol,2003,GBA
34,An American Tail: Fievel's Gold Rush,2002,GBA
35,Angel Collection - Mezase! Gakuen no Fashion Leader,2004,GBA
36,Angel Collection 2: Pichimo Ni Narou,2004,GBA
37,Angelique,2002,GBA
38,Animal Mania: Dokidoki Aishou Check,2002,GBA
39,Animal Snap: Rescue Them 2 by 2,2003,GBA
