,title,date,console
0,.hack//frägment,2005,PS2
1,.hack//G.U.vol.1//Rebirth,2006,PS2
2,.hack//G.U.vol.2//Reminisce,2006,PS2
3,.hack//G.U.vol.3//Redemption,2007,PS2
4,.hack//Infection Part 1,2002,PS2
5,.hack//Mutation Part 2,2002,PS2
6,.hack//Outbreak Part 3,2002,PS2
7,.hack//Quarantine Part 4,2003,PS2
8,_Summer,2006,PS2
9,007: NightFire,2002,PS2
10,007: Quantum of Solace,2008,PS2
11,10 Pin: Champions Alley,2005,PS2
12,"10,000 Bullets",2005,PS2
13,120-en no Haru: 120 Yen Stories,2005,PS2
14,12Riven: The Psi-Climinal of Integral,2008,PS2
15,18 Wheeler American Pro Trucker,2001,PS2
16,187 Ride or Die,2005,PS2
17,1945 I & II The Arcade Games,2004,PS2
18,2002 FIFA World Cup,2002,PS2
19,2003-Toshi Kaimaku – Ganbare Kyuukaiou,2003,PS2
20,21 Card Games,2006,PS2
21,24: The Game,2006,PS2
22,25 to Life,2006,PS2
23,2nd Super Robot Wars Alpha,2003,PS2
24,3-Nen B-Gumi Kinpachi Sensei Densetsu no Kyoudan ni Tate!,2004,PS2
25,3LDK – Shiawase ni Narouyo,2004,PS2
26,3rd Super Robot Wars Alpha: To the End of the Galaxy,2005,PS2
27,4x4 EVO,2001,PS2
28,4x4 EVO 2,2002,PS2
29,50 Cent: Bulletproof,2005,PS2
30,7 Blades,2000,PS2
31,7 Sins,2005,PS2
32,7 Wonders of the Ancient World,2007,PS2
33,A-Ressha de Ikou 2001,2001,PS2
34,A-Ressha de Ikou 2001 Perfect Set,2002,PS2
35,A.C.E.: Another Century's Episode,2005,PS2
36,A.C.E.: Another Century's Episode 2,2006,PS2
37,A.C.E.: Another Century's Episode 2 (Special Vocal Version),2007,PS2
38,A.C.E.: Another Century's Episode 3: The Final,2007,PS2
39,Aa Megami-sama,2007,PS2
40,Abarenbou Princess,2001,PS2
41,AC/DC Live: Rock Band Track Pack,2008,PS2
42,Ace Combat 04: Shattered Skies,2001,PS2
43,Ace Combat 5: The Unsung War,2004,PS2
44,Ace Combat Zero: The Belkan War,2006,PS2
45,Ace Lightning,2003,PS2
46,Aces of War,2004,PS2
47,Action Girlz Racing,2005,PS2
48,Action Man A..TO.M.: Alpha Teens on Machines,2007,PS2
49,Activision Anthology,2002,PS2
50,Adiboo and the Energy Thieves,2004,PS2
51,ADK Damashii,2008,PS2
52,Adventure of Tokyo Disney Sea,2001,PS2
53,The Adventures of Cookie & Cream,2001,PS2
54,The Adventures of Darwin,2006,PS2
55,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,2004,PS2
56,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,2003,PS2
57,Æon Flux,2005,PS2
58,Aero Elite: Combat Academy,2003,PS2
59,Aerobics Revolution,2003,PS2
60,AFL Live 2003,2002,PS2
61,AFL Live 2004,2003,PS2
62,AFL Live Premiership Edition,2004,PS2
63,AFL Premiership 2005: The Official Game of the AFL Premiership,2005,PS2
64,AFL Premiership 2006,2006,PS2
65,AFL Premiership 2007,2007,PS2
66,After...,2004,PS2
67,Agassi Tennis Generation,2003,PS2
68,Age of Empires II: The Age of Kings,2001,PS2
69,Agent Hugo,2005,PS2
70,Agent Hugo: Hula Holiday,2008,PS2
71,Agent Hugo: Lemoon Twist,2007,PS2
72,Agent Hugo: Roborumble,2006,PS2
73,Aggressive Inline,2002,PS2
74,AI Igo 2003,2003,PS2
75,AI Mahjong 2003,2003,PS2
76,AI Shogi 2003,2003,PS2
77,Ai Yori Aoshi,2003,PS2
78,Aikagi,2003,PS2
79,Air,2002,PS2
80,Air Raid 3,2004PAL,PS2
81,Air Ranger: Rescue Helicopter,2001,PS2
82,Air Ranger 2: Rescue Helicopter,2002,PS2
83,Air Ranger 2 Plus: Rescue Helicopter,2003,PS2
84,AirBlade,2001,PS2
85,Airborne Troops: Countdown to D-Day,2005,PS2
86,Airforce Delta Strike,2004,PS2
87,The Aka-Champion,2005,PS2
88,Akagi: Yami ni Furitatta Tensai,2002,PS2
89,Akai Ito,2004,PS2
90,Akane Iro ni Somaru Saka: Parallel,2008,PS2
91,Akira Psycho Ball,2002,PS2
92,Akudaikan,2002,PS2
93,Akudaikan 2: Mousouden,2003,PS2
94,Akudaikan 3,2007,PS2
95,Alan Hansen's Sports Challenge,2007,PS2
96,Alarm for Cobra 11 Vol. 2: Hot Pursuit,2005,PS2
97,Alex Ferguson's Player Manager 2001,2001,PS2
98,Alfa Romeo Racing Italiano,2005,PS2
99,Alias,2004,PS2
100,Alien Hominid,2004,PS2
101,Aliens in the Attic,2009,PS2
102,Aliens Versus Predator: Extinction,2003,PS2
103,All Star Fighters,2005,PS2
104,All Star Pro-Wrestling,2000,PS2
105,All Star Pro-Wrestling II,2001,PS2
106,All Star Pro-Wrestling III,2003,PS2
107,All-Star Baseball 2002,2001,PS2
108,All-Star Baseball 2003,2002,PS2
109,All-Star Baseball 2004,2003,PS2
110,All-Star Baseball 2005,2004,PS2
111,Alone in the Dark,2008,PS2
112,Alone in the Dark: The New Nightmare,2001,PS2
113,Alpine Racer 3,2002,PS2
114,Alpine Ski Racing 2007,2006,PS2
115,Alpine Skiing 2005,2005,PS2
116,Alter Echo,2003,PS2
117,Altered Beast,2005,PS2
118,Alvin and the Chipmunks,2007,PS2
119,Amagami,2009,PS2
120,Amagoushi no Yakata,2007,PS2
121,America Oudan Ultra-Quiz,2002,PS2
122,American Chopper,2004,PS2
123,American Chopper 2: Full Throttle,2005,PS2
124,American Idol,2003,PS2
125,American Pool II,2007,PS2
126,AMF Xtreme Bowling,2006,PS2
127,Amplitude,2003,PS2
128,An American Tail,2007,PS2
129,AND 1 Streetball,2006,PS2
130,Angel Profile,2007,PS2
131,Angel Wish: Kimi no Egao ni Chu!,2005,PS2
132,Angel's Feather,2004,PS2
133,Angel's Feather: Kuro no Zanei,2005,PS2
134,Angelic Concert,2003,PS2
135,Angelique Etoile,2004,PS2
136,Angelique Trois,2000,PS2
137,Angelique Trois: Aizouhen,2001,PS2
138,Animal Soccer World,2005PAL,PS2
139,Animaniacs: The Great Edgar Hunt,2005,PS2
140,The Ant Bully,2006,PS2
141,Antz Extreme Racing,2002,PS2
142,Anubis II,2005,PS2
143,Anya Nisasayaku,2006,PS2
144,Aoi no Mamade...,2004,PS2
145,Aoi Sora no Neosphere: Nanoca Flanka Hatsumei Koubouki 2~,2007,PS2
