,title,date,console
0,007 Racing,2000,PS1
1,007: The World Is Not Enough,2000,PS1
2,007: Tomorrow Never Dies,1999,PS1
3,1-Jikan de Wakaru Kabushiki Toushi,Unreleased,PS1
4,100 Manyen Quiz Hunter,Unreleased,PS1
5,101 Dalmatians II: Patch's London Adventure,2003,PS1
6,10101: Will the Starship,Unreleased,PS1
7,102 Dalmatians: Puppies to the Rescue,2000,PS1
8,19:03 Ueno-hatsu Yakou Ressha,Unreleased,PS1
9,1Xtreme,1995,PS1
10,2002 FIFA World Cup,2002,PS1
11,2999-Nen no Game Kids,Unreleased,PS1
12,2Xtreme,1996,PS1
13,360: Three Sixty,Unreleased,PS1
14,3D Baseball,1996,PS1
15,3D Shooting Tsukuru,Unreleased,PS1
16,3x3 Eyes: Kyuusei Koushu,Unreleased,PS1
17,3x3 Eyes: Tenrinou Genmu,Unreleased,PS1
18,3Xtreme,1999,PS1
19,40 Winks,1999,PS1
20,4-4-2 Soccer,Unreleased,PS1
21,5 Star Racing,Unreleased,PS1
22,70's Robot Anime Geppy-X,Unreleased,PS1
23,98 Kōshien,Unreleased,PS1
24,99 Kōshien,Unreleased,PS1
25,A Nanjarin,Unreleased,PS1
26,A2 Racer III: Europa Tour,Unreleased,PS1
27,A.IV Evolution: A-Ressha de Ikou 4,Unreleased,PS1
28,A5: A-Ressha de Ikou 5,Unreleased,PS1
29,A-Ressha de Ikou Z: Mezase! Tairiku Oudan,Unreleased,PS1
30,A-Train,1996,PS1
31,AbalaBurn,Unreleased,PS1
32,Ace Combat 2,1997,PS1
33,Ace Combat 3: Electrosphere,2000,PS1
34,Aces of the Air,2002,PS1
35,Acid,Unreleased,PS1
36,Aconcagua,Unreleased,PS1
37,Action Bass,2000,PS1
38,Action Man: Destruction X,Unreleased,PS1
39,Action Man: Operation Extreme,2000,PS1
40,Activision Classic Games for the Atari 2600,1998,PS1
41,Actua Golf,1996,PS1
42,Actua Golf 2,1998,PS1
43,Actua Golf 3,Unreleased,PS1
44,Actua Ice Hockey,Unreleased,PS1
45,Actua Ice Hockey 2,Unreleased,PS1
46,Actua Soccer,1996,PS1
47,Actua Soccer 2,Unreleased,PS1
48,Actua Soccer 3,Unreleased,PS1
49,Actua Soccer Club Edition,Unreleased,PS1
50,Actua Tennis,Unreleased,PS1
51,Ad Lib Ouji ...to Fuyukai na Nakama-tachi!?,Unreleased,PS1
52,Addie no Okurimono,Unreleased,PS1
53,Adiboo & Paziral's Secret,Unreleased,PS1
54,Adibou Et L'Ombre Verte,Unreleased,PS1
55,Adidas Power Soccer,1996,PS1
56,Adidas Power Soccer 2,Unreleased,PS1
57,Adidas Power Soccer International 97,Unreleased,PS1
58,Adidas Power Soccer 98,1998,PS1
59,Advan Racing,Unreleased,PS1
60,Advanced V.G.,Unreleased,PS1
61,Advanced V.G. 2,Unreleased,PS1
62,The Adventure of Little Ralph,Unreleased,PS1
63,The Adventures of Lomax,1996,PS1
64,AFL 99,Unreleased,PS1
65,Afraid Gear,Unreleased,PS1
66,Afraid Gear Another,Unreleased,PS1
67,Afro Inu: The Puzzle,Unreleased,PS1
68,Agent Armstrong,Unreleased,PS1
69,Agile Warrior F-111X,1995,PS1
70,AI Mahjong 2000,Unreleased,PS1
71,AI Mahjong Selection,Unreleased,PS1
72,AI Shogi,Unreleased,PS1
73,AI Shogi 2,Unreleased,PS1
74,AI Shogi 2 Deluxe,Unreleased,PS1
75,AI Shogi Selection,Unreleased,PS1
76,Air Combat,1995,PS1
77,Air Hockey,2003,PS1
78,Air Management '96,Unreleased,PS1
79,Air Race Championship,Unreleased,PS1
80,AirGrave,Unreleased,PS1
81,Aironauts,Unreleased,PS1
82,The Airs,Unreleased,PS1
83,Aishiau Kotoshika Dekinai,Unreleased,PS1
84,Aitakute... Your Smiles in My Heart,Unreleased,PS1
85,Akagawa Jirou: Majotachi no Nemuri: Fukkatsusai,Unreleased,PS1
86,Akagawa Jirou: Yasoukyoku,Unreleased,PS1
87,Akagawa Jirou: Yasoukyoku 2,Unreleased,PS1
88,Akagi: Touhaiden,Unreleased,PS1
89,Akazu no Ma,Unreleased,PS1
90,Akuji the Heartless,1998,PS1
91,Alex Ferguson's Player Manager 2001PAL,Unreleased,PS1
92,Alex Ferguson's Player Manager 2002PAL,Unreleased,PS1
93,Alexi Lalas International Soccer,1999,PS1
94,Alfred Chicken,Unreleased,PS1
95,Alice in Cyberland,Unreleased,PS1
96,Alien: Resurrection,2000,PS1
97,Alien Trilogy,1996,PS1
98,ALIVE,Unreleased,PS1
99,All Japan Woman Pro Wrestling,Unreleased,PS1
100,All-Star 1997 featuring Frank Thomas,1997,PS1
101,All-Star Action,Unreleased,PS1
102,All-Star Mahjong: Kareinaru Shoubushi Kara no Chousen,Unreleased,PS1
103,All-Star Racing,2002,PS1
104,All-Star Racing 2,2003,PS1
105,All-Star Slammin' D-ballNA,2002,PS1
106,All Star Soccer,Unreleased,PS1
107,All Star Tennis '99,Unreleased,PS1
108,All Star Tennis 2000,Unreleased,PS1
109,All Star Watersports,Unreleased,PS1
110,Allied General,1996,PS1
111,Alnam no Kiba: Juuzoku Juuni Shinto Densetsu,Unreleased,PS1
112,Alnam no Tsubasa: Shoujin no Sora no Kanata e,Unreleased,PS1
113,Alone in the Dark: One-Eyed Jack's RevengeNA,1996,PS1
114,Alone in the Dark: The New Nightmare,2001,PS1
115,Alundra,1998,PS1
116,Alundra 2: A New Legend Begins,2000,PS1
117,The Amazing Virtual Sea-Monkeys,2002,PS1
118,America Oudan Ultra-Quiz,Unreleased,PS1
119,American Pool,2003,PS1
120,Amerzone,Unreleased,PS1
121,Anastasia,Unreleased,PS1
122,Ancient Roman: Power of Dark Side,Unreleased,PS1
123,Andretti Racing,1996,PS1
124,Angel Blade: Neo Tokyo Guardians,Unreleased,PS1
125,Angel Graffiti: Anathe no Profile,Unreleased,PS1
126,Angelique Duet,Unreleased,PS1
127,Angelique History,Unreleased,PS1
128,Angelique Special,Unreleased,PS1
129,Angelique Special 2,Unreleased,PS1
130,Angelique: Tenkū no Requiem,Unreleased,PS1
131,Angolmois 99,Unreleased,PS1
132,Animal Football,Unreleased,PS1
133,Animal Snap,Unreleased,PS1
134,Animaniacs: Ten Pin Alley,1998,PS1
135,Animetic Story Game 1: Cardcaptor Sakura,Unreleased,PS1
136,Animorphs: Shattered Reality,2000,PS1
137,Ankh: Tutankhamen no Nazo,Unreleased,PS1
138,Anoko Doko Noko,Unreleased,PS1
139,Another Memories,Unreleased,PS1
140,Another Mind,Unreleased,PS1
141,Ao no Roku-gō,Unreleased,PS1
142,Ao Zora to Nakama Tachi: Yume no Bouken Plus,Unreleased,PS1
143,Aoki Ookami to Shiroki Mejika: Genchou Hishi,Unreleased,PS1
144,Ape Escape,1999,PS1
145,Apocalypse,1998,PS1
146,Aqua GT,Unreleased,PS1
147,Aqua Paradise: Boku no Suizokukan,Unreleased,PS1
148,Aquanaut's Holiday,1996,PS1
149,Aquanaut no Kyuujitsu: Memories of Summer 1996,Unreleased,PS1
150,Aquanaut no Kyuujitsu 2,Unreleased,PS1
151,Aquarian Age: Tokyo Wars,Unreleased,PS1
152,Arc the Lad,Unreleased,PS1
153,Arc the Lad II,Unreleased,PS1
154,Arc the Lad III,Unreleased,PS1
155,Arc the Lad: Monster Game with Casino Game,Unreleased,PS1
156,Arcade Hits: Crazy Climber,Unreleased,PS1
157,Arcade Hits: Moon Cresta,Unreleased,PS1
158,Arcade Hits: Raiden,Unreleased,PS1
159,Arcade Party Pak,1999,PS1
160,Arcade's Greatest Hits: The Atari Collection 1,1996,PS1
161,Arcade's Greatest Hits: The Atari Collection 2,1998,PS1
162,Arcade's Greatest Hits: The Midway Collection 2,1997,PS1
163,Archer Mclean's 3D Pool,Unreleased,PS1
164,Are! Mo Kore? Mo Momotarou,Unreleased,PS1
165,Area 51,1996,PS1
166,Ark of Time,Unreleased,PS1
167,Arkana Senki Ludo,Unreleased,PS1
168,Arkanoid Returns,Unreleased,PS1
169,Armed Fighter,Unreleased,PS1
170,Armored Core,1997,PS1
171,Armored Core: Master of Arena,2000,PS1
172,Armored Core: Project Phantasma,1998,PS1
173,Armorines: Project S.W.A.R.M.,2000,PS1
174,Army Men 3D,1999,PS1
175,Army Men: Air Attack,1999,PS1
176,Army Men: Air Attack 2,2000,PS1
177,Army Men: Green Rogue,2001,PS1
178,Army Men: Sarge's Heroes,2000,PS1
179,Army Men: Sarge's Heroes 2,2000,PS1
180,Army Men: World War,2000,PS1
181,Army Men: World War - Final Front,2001,PS1
182,"Army Men: World War - Land, Sea, Air",2000,PS1
183,Army Men: World War - Team Assault,2001,PS1
184,Art Camion Geijutsuden,Unreleased,PS1
185,Art Camion Sugorokuden,Unreleased,PS1
186,Arthur! Ready to Race,2000,PS1
187,Arthur to Astaroth no Nazomakaimura: Incredible Toons,Unreleased,PS1
188,Arubarea no Otome ~Uruwashi no Seishikitachi~,Unreleased,PS1
189,Ason de Chinou Up,Unreleased,PS1
190,Asonde Aiueo,Unreleased,PS1
191,Asonde Kazu Suuji,Unreleased,PS1
192,Assault: Retribution,1998,PS1
193,Assault Rigs,1996,PS1
194,Assault Suits Valken 2,Unreleased,PS1
195,Asterix,Unreleased,PS1
196,Asterix & Obelix Take On Caesar,Unreleased,PS1
197,Asterix: Mega Madness,Unreleased,PS1
198,Asteroids,1998,PS1
199,Astronōka,Unreleased,PS1
200,Asuka 120% Final: Burning Fest. Final,Unreleased,PS1
201,Asuka 120% Excellent: Burning Festival,Unreleased,PS1
202,Asuka 120% Special Burning Fest,Unreleased,PS1
203,Asuncia - Majou no Jubaku,Unreleased,PS1
204,Atari Anniversary Edition Redux,2001,PS1
205,Atelier Elie: The Alchemist of Salburg 2,Unreleased,PS1
206,Athena: Awakening from the Ordinary Life,Unreleased,PS1
207,Athena no Kateiban: Family Game,Unreleased,PS1
208,Atlantis: The Lost Empire,2001,PS1
209,"Atlantis, the Lost Continent",Unreleased,PS1
210,Atlantis: The Lost Tales,Unreleased,PS1
211,Attack of the Saucerman,Unreleased,PS1
212,ATV Mania,2003,PS1
213,ATV Racers,2003,PS1
214,ATV: Quad Power Racing,2000,PS1
215,AubirdForce,Unreleased,PS1
216,AubirdForce After,Unreleased,PS1
217,Aura Battler Dunbine,Unreleased,PS1
218,Austin Powers Pinball,2002,PS1
219,Autobahn Raser II,Unreleased,PS1
220,Auto Destruct,1997,PS1
221,Ayakashi Ninden Kunoichiban,Unreleased,PS1
222,Ayrton Senna Kart Duel,Unreleased,PS1
223,Ayrton Senna Kart Duel 2,Unreleased,PS1
224,Ayrton Senna Kart Duel Special,Unreleased,PS1
225,Azito,Unreleased,PS1
226,Azito 2,Unreleased,PS1
227,Azito 3,Unreleased,PS1
228,Aztec: The Curse in the Heart of the City of Gold,Unreleased,PS1
229,Azumanga Donjyara Daioh,Unreleased,PS1
230,Azure Dreams,1998,PS1
231,B Senjou no Alice: Alice on Borderlines,Unreleased,PS1
232,B.L.U.E. Legend of Water,Unreleased,PS1
233,Baby Felix Tennis,Unreleased,PS1
234,Backgammon 2000,Unreleased,PS1
235,"Backguiner ~Yomigaeru Yuushatachi~ ""Guiner Tenshou""",Unreleased,PS1
236,"Backguiner ACT-2 ~Yomigaeru Yuushatachi~ Hishou Hen ""Uragiri no Senjou""",Unreleased,PS1
237,Backstreet Billiards,1998,PS1
238,Backyard Soccer,2001,PS1
239,Bakuretsu Hunter: Mahjong Special,Unreleased,PS1
240,Bakuretsu Hunter: Sorezore no Omoi...Nowaan Chatte,Unreleased,PS1
241,Bakushou!! All Yoshimoto Quiz Ou Ketteisen DX,Unreleased,PS1
242,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,Unreleased,PS1
243,Bakusou Dekotora Densetsu 2: Otoko Jinsei Yume Ichiro,Unreleased,PS1
244,(Mini Yonku)/Mini 4WD) Bakusou Kyoudai: Let's & Go!! WGP Hyper Heat,Unreleased,PS1
245,Bakusou Kyoudai: Let's & Go!! Eternal Wings,Unreleased,PS1
246,Bakuten Shoot Beyblade 2002: Beybattle Tournament 2,Unreleased,PS1
247,Baldies,2003,PS1
248,Ball Breakers,2000,PS1
249,Ballblazer Champions,1997,PS1
250,Ballerburg Castle Chaos,2003,PS1
251,Ballistic,1999,PS1
252,Barbapapa,Unreleased,PS1
253,Barbie: Explorer,2001,PS1
254,Barbie: Race & Ride,1999,PS1
255,Barbie Super Sports,2000,PS1
256,Barbie: Gotta Have Games,2003,PS1
257,Bardysh: Kromeford no Juunin,Unreleased,PS1
258,Baroque,Unreleased,PS1
259,Baroque Syndrome,Unreleased,PS1
260,Baseball Navigator,Unreleased,PS1
261,Baseball Simulation: ID Pro Yakyuu,Unreleased,PS1
262,Bases Loaded '96: Double Header,1995,PS1
263,Bass Fisherman,Unreleased,PS1
264,Bass Landing,1999,PS1
265,Bass Landing 2,Unreleased,PS1
266,Bass Rise,1999,PS1
267,Bass Tsuri ni Ikou! Let's Go Bassfishing!,Unreleased,PS1
268,Bassing Beat 2,Unreleased,PS1
269,Bastard!!,Unreleased,PS1
270,Batman & Robin,1998,PS1
271,Batman Beyond: Return of the JokerNA,2000,PS1
272,Batman Forever: The Arcade Game,1996,PS1
273,Batman: Gotham City Racer,2001,PS1
274,Battle Arena Nitoshinden,Unreleased,PS1
275,Battle Arena Toshinden,1995,PS1
276,Battle Arena Toshinden 2,1996,PS1
277,Battle Arena Toshinden 2 Plus,Unreleased,PS1
278,Battle Arena Toshinden 3,1997,PS1
279,Battle Athletess: Daiundoukai Alternative,Unreleased,PS1
280,Battle Athletess: Daiundoukai GTO,Unreleased,PS1
281,Battle Bugs,Unreleased,PS1
282,Battle Formation,Unreleased,PS1
283,Battle Hunter,2001,PS1
284,Battle Konchuuden,Unreleased,PS1
285,Battle Master,Unreleased,PS1
286,Battle Qix,Unreleased,PS1
287,BattleSport,1997,PS1
288,Battle Stations,1997,PS1
289,BattleTanx: Global Assault,2000,PS1
290,Bealphareth,Unreleased,PS1
291,Bear in the Big Blue House,2002,PS1
292,Beast Wars: Transformers,1997,PS1
293,Beatmania,Unreleased,PS1
294,Beatmania (Europe),Unreleased,PS1
295,Beatmania Append 3rd Mix,Unreleased,PS1
296,Beatmania Append 3rd Mix Mini,Unreleased,PS1
297,Beatmania Append 4th Mix,Unreleased,PS1
298,Beatmania Append 5th Mix,Unreleased,PS1
299,Beatmania Append Club mix,Unreleased,PS1
300,Beatmania Append Gottamix,Unreleased,PS1
301,Beatmania Append Gottamix 2 – Going Global,Unreleased,PS1
302,Beatmania Append Yebisu Mix,Unreleased,PS1
303,Beatmania 6th Mix + Core Mix,Unreleased,PS1
304,Beatmania Best Hits,Unreleased,PS1
305,Beatmania Featuring Dreams Come True,Unreleased,PS1
306,Beatmania – The Sound of Tokyo,Unreleased,PS1
307,Beat Planet Music,Unreleased,PS1
308,Beavis and Butt-Head in Virtual Stupidity,Unreleased,PS1
309,Bedlam,Unreleased,PS1
310,Beyblade: Let it Rip!,2002,PS1
311,Beyond the Beyond,1996,PS1
312,Big Air,1999,PS1
313,Big Bass Fishing,2002,PS1
314,Big Bass World Championship,1997,PS1
315,Big Challenge Golf: Tokyo Yomiuri Country Club Hen,Unreleased,PS1
316,Big League Slugger Baseball,2003,PS1
317,Big Ol' Bass 2,2000,PS1
318,Big Strike Bowling,2003,PS1
319,Billiard (Selen),Unreleased,PS1
320,Bio F.R.E.A.K.S.,1998,PS1
321,Bishi Bashi Special,Unreleased,PS1
322,Bishi Bashi Special 2,Unreleased,PS1
323,Bishi Bashi Special 3: Step Champ,Unreleased,PS1
324,Bishoujo Hanafuda Kikou: Michinoku Hitou Koimonogatari,Unreleased,PS1
325,Bishoujo Senshi Sailor Moon SuperS Shin Shuyaku Soudatsusen,Unreleased,PS1
326,Bishoujo Senshi Sailor Moon World – Chibi Usa to Tanoshii Mainichi,Unreleased,PS1
327,The Bistro,Unreleased,PS1
328,Black/Matrix 00,Unreleased,PS1
329,Black/Matrix Cross,Unreleased,PS1
330,Black Bass with Blue Marlin,1999,PS1
331,Black Dawn,1996,PS1
332,Black Jack vs. Matsuda Jun,Unreleased,PS1
333,Blade,2000,PS1
334,Blade Arts,Unreleased,PS1
335,BladeMaker,Unreleased,PS1
336,Blast Chamber,1996,PS1
337,Blast Lacrosse,2001,PS1
338,Blast Radius,1999,PS1
339,Blaster Master: Blasting Again,2001,PS1
340,Blasto,1998,PS1
341,Blaze and Blade Busters,Unreleased,PS1
342,Blaze and Blade: Eternal Quest,Unreleased,PS1
343,Blazing Dragons,1996,PS1
344,Blend X Brand,Unreleased,PS1
345,Block Buster,Unreleased,PS1
346,Blockids,2003,PS1
347,Block & Switch,Unreleased,PS1
348,Block Kuzushi Kowashite Help!,Unreleased,PS1
349,Block Kuzushi: Deden no Gyakushuu,Unreleased,PS1
350,Block Wars,Unreleased,PS1
351,Blood Lines,Unreleased,PS1
352,Blood Omen: Legacy of Kain,1996,PS1
353,Bloody Roar,1998,PS1
354,Bloody Roar 2,1999,PS1
355,Blue Breaker: Egao no Yakusoku,Unreleased,PS1
356,Blue Breaker Burst: Bishou o Anata to,Unreleased,PS1
357,Blue Breaker Burst: Egao no Asuni,Unreleased,PS1
358,Blue Forest Monogatari: Kaze no Fuuin,Unreleased,PS1
359,The Blue Marlin,Unreleased,PS1
360,Blue's Clues: Blue's Big Musical,2001,PS1
361,Board Game Top Shop,2001,PS1
