,title,date,console
0,D & CO: Ta maison de reve en 7 jours,2009,DS
1,D.Gray-man: Kami no Shitotachi,2007,DS
2,DaGeDar,2011,DS
3,Daigasso! Band-Brothers,2004,DS
4,Daigasso! Band Brothers Tsuika Kyoku Cartridge,2005,DS
5,Daikoukai Jidai IV: Rota Nova,2006,DS
6,Daisenryaku DS,2006,DS
7,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,2007,DS
8,Dance Floor,2009,DS
9,Dance! It's Your Stage,2010,DS
10,Dancing on Ice,2010,DS
11,Dancing with the Stars: We Dance!,2008,DS
12,Daniel X The Ultimate Power,2010,DS
13,Danny Phantom: Urban Jungle,2006,DS
14,Daredemo Asobi Taizen,2005,DS
15,Daredemo Kantan! Chou Chikun no Tsumego,2006,DS
16,Daredemo Kantan! Watanabe Akira no Tsume Shogi,2006,DS
17,The Daring Game for Girls,2010,DS
18,The Dark Spire,2008,DS
19,Das goldene Amulett des Pharao,2010,DS
20,Das grosse Tagesschau Quiz,2009,DS
21,Das Magische Labyrinth,2010,DS
22,Date ni Game Tsui Wake Jane! Dungeon Maker Girls Type,2009,DS
23,Datenshi no Amai Yuuwaku x Kaikan Phase,2010,DS
24,Dawn of Discovery,2009,DS
25,Dawn of Heroes,2010,DS
26,Days of Memories,2007,DS
27,Days of Memories 2,2008,DS
28,Days of Memories 3,2009,DS
29,De Blob 2,2011,DS
30,Deal or No Deal,2007,DS
31,Deal or no Deal (Australia),2009,DS
32,Deal or no Deal (Germany),2008,DS
33,Deal or no Deal (Netherlands),2008,DS
34,Deal or no Deal: Der Banker Schlaegt Zurueck,2009,DS
35,Deal or No Deal: Special Edition,2010,DS
36,Deal or No Deal: The Banker is Back!,2008,DS
37,Deal or no Deal: The Official Nintendo DS Game,2007,DS
38,Dear Girl: Stories Hibiki - Hibiki Tokkun Daisakusen!,2009,DS
39,Death Note Kira's Game,2007,DS
40,Death Note: L o Tsugu Mono,2007,DS
41,"Death, Jr. and the Science Fair of Doom",2007,DS
42,Deca Sports DS,2008,DS
43,Deep Labyrinth,2006,DS
44,Deer Drive,2010,DS
45,Defendin' DePenguin,2008,DS
46,Dekiru Otoko no Mote Life: Hiru no Mote Kouza Hen,2008,DS
47,Dekiru Otoko no Mote Life: Yoru no Mote Jissen Hen,2008,DS
48,Dekitayo Mama! Mitsugo no Kuma-San - Onna no Ko,2010,DS
49,Dekitayo Mama! Mitsugo no Kuma-San - Otoko no Ko,2010,DS
50,Deltora Quest,2007,DS
51,Dementium II,2010,DS
52,Dementium: The Ward,2008,DS
53,Dengeki Gakuen RPG: Cross of Venus,2009,DS
54,Dengeki Gakuen RPG: Cross of Venus Special,2011,DS
55,Denjirou Sensei no Fushigi na Jikkenshitsu,2008,DS
56,Denksport Varia,2008,DS
57,Densetsu no Stafy 4,2006,DS
58,Densha de Go! Tokubetsu-hen: Fukkatsu! Shouwa no Yamanotesen,2010,DS
59,Der Bauernhof,2009,DS
60,Der Dativ ist dem Genitiv sein Tod,2009,DS
61,Der Fluch der Osterinsel,2010,DS
62,Der Schatz der Delfine,2009,DS
63,Derby Stallion DS,2008,DS
64,Des Chiffres et des Lettres,2008,DS
65,Desktop Tower Defense,2009,DS
66,Despicable Me: Minion Mayhem,2010,DS
67,Destiny Links,2009,DS
68,Deutsch: 1.-4. Klasse - Fit fuers Gymnasium,2008,DS
69,Deutsch: 1.-4. Klasse 2012,2008,DS
70,Deviens Miss France,2007,DS
71,Devilish: Ball Bounder,2005,DS
72,Di-Gata Defenders,2008,DS
73,Diabolik: The Original Sin,2009,DS
74,Diamond Trust of London,2012,DS
75,Diary Girl,2008,DS
76,Die drei ??? Das Geheimnis der Geisterinsel,2007,DS
77,Die drei ??? Das Geheimnis der Toten,2010,DS
78,Die Wilden Huhner und die Jagd nach dem Rubinherz,2008,DS
79,Diercke Das Geographie-Quiz,2009,DS
80,Diercke Junior-Quiz Geographie,2010,DS
81,Diddl in the Cheesecakeland,2011,DS
82,Diddl Puzzle: Echter Puzzlespass fuer Unterwegs,2009,DS
83,Diddy Kong Racing DS,2007,DS
84,Dig Dug: Digging Strike,2005,DS
85,Digging for Dinosaurs,2010,DS
86,Digimon Story: Lost Evolution,2010,DS
87,Digimon Story: Super Xros Wars Blue,2011,DS
88,Digimon Story: Super Xros Wars Red,2011,DS
89,Digimon World Championship,2008,DS
90,Digimon World DS,2006,DS
91,Digimon World: Dawn,2007,DS
92,Digimon World: Dusk,2007,DS
93,Diner Dash: Flo on the Go,2009,DS
94,Diner Dash: Sizzle & Serve,2007,DS
95,Dino King Battle: Taiko Kara no Hyouryuusha,2006,DS
96,Dino Master,2005,DS
97,Dino Pets,2009,DS
98,Dinosaur King,2007,DS
99,Dirt 2,2009,DS
100,Discovery Kids:Dolphin Discovery,2009,DS
101,Discovery Kids:Kitten Corner,2009,DS
102,Discovery Kids:Parrot Pals,2009,DS
103,Discovery Kids:Pony Paradise,2009,DS
104,Discovery Kids:Puppy Playtime,2009,DS
105,Discovery Kids:Snake Safari,2010,DS
106,Discovery Kids:Spider Quest,2009,DS
107,Disgaea DS,2008,DS
108,Disney Big Hero 6: Battle in the Bay,2014,DS
109,Disney Bolt,2008,DS
110,Disney Camp Rock: The Final Jam,2010,DS
111,Disney Club Penguin: Elite Penguin Force - Herbert's Revenge,2010,DS
112,Disney Fairies: Feji,2008,DS
113,Disney Fairies: Tinker Bell and the Great Fairy Rescue,2010,DS
114,Disney Fairies: Tinker Bell and the Lost Treasure,2009,DS
115,Disney Friends,2007,DS
116,Disney Frozen: Olaf's Quest,2013,DS
117,Disney Hannah Montana: Music Jam,2007,DS
118,Disney High School Musical: Makin' the Cut!,2007,DS
119,Disney High School Musical 2: Work This Out!,2008,DS
120,Disney High School Musical 3: Senior Year,2008,DS
121,Disney Planes,2013,DS
122,Disney Princess: Enchanting Storybooks,2011,DS
123,Disney Princess: Magical Jewels,2007,DS
124,Disney Stitch Jam,2009,DS
125,Disney Tangled: The Video Game,2010,DS
126,Disney Violetta: Rhythm & Music,2014,DS
127,"Disney's American Dragon: Jake Long, Attack of the Dark Dragon",2006,DS
128,Disney's Chicken Little: Ace in Action,2006,DS
129,Disney's A Christmas Carol,2009,DS
130,Disney's Herbie Rescue Rally,2007,DS
131,Disney's Kim Possible: Global Gemini,2007,DS
132,Disney's Kim Possible: Kimmunicator,2005,DS
133,Disney's The Little Mermaid: Ariel's Undersea Adventure,2006,DS
134,Disney's Meet the Robinsons,2007,DS
135,Disney's That's So Raven: Psychic on the Scene,2006,DS
136,Disney/Pixar's Brave: The Video Game,2012,DS
137,Disney/Pixar's Cars,2006,DS
138,Disney/Pixar's Cars 2,2011,DS
139,Disney/Pixar's Cars Mater-National Championship,2007,DS
140,Disney/Pixar's Cars Race-O-Rama,2009,DS
141,Disney/Pixar's Finding Nemo: Escape to the Big Blue,2006,DS
142,Disney/Pixar's Finding Nemo: Escape to the Big Blue Special Edition,2012,DS
143,Disney/Pixar's Up,2009,DS
144,Disney/Pixar's Ratatouille,2007,DS
145,Disney/Pixar's Ratatouille: Food Frenzy,2007,DS
146,Disney/Pixar's The Incredibles: Rise of the Underminer,2005,DS
147,Disney/Pixar's Toy Story 3: The Video Game,2007,DS
148,Disney/Pixar Wall-E,2008,DS
149,Diva Girls: Diva Dancers,2009,DS
