player1,player2,score1,score2,round,tourneyName,eventName,date
WATER-1,SquidgeLuke,1,3,Losers Round 4,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Nitro,DarthPhallus,3,1,Losers Round 4,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Zaran,Loona,3,0,Losers Round 4,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Supreme Honkifex,Sola,0,3,Losers Round 4,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Papa Leo,ElCreeblue,3,1,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Coach Steve,WyCry,3,0,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Nitro,Jdjones,1,3,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Dusty,WATER-1,3,1,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Jdjones,Miguel,3,2,Grand Final,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Asar,Lamayo,0,3,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Marvelo,Lurry,3,0,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Zintai,SonAceKeem,0,3,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
BeefyManatee,Zippy,0,3,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Dahviess,Mundank,3,1,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Papple,Aidenspro,3,1,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Petrafied,Risetto,2,3,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
MacMens,BlueHek997,3,2,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
EloDad,Sola,3,0,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Miguel,Loona,3,1,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
azormx,Smuggles,0,3,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Osmosis,Zaran,3,0,Winners Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Petrafied,Tarik,3,0,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
BlueHek997,HEARTS,3,0,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Mundank,CreakyAxe,1,3,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Aidenspro,ArticPeach,3,0,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
BeefyManatee,KidFrost,3,2,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Zintai,Lavender_B,3,2,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Asar,PORK LAZER,0,3,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Lurry,A.B.Y,3,2,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
WATER-1,Fresh,3,1,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Nitro,Somnium,3,0,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
WyCry,SquidgeLuke,0,3,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
ElCreeblue,DarthPhallus,1,3,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
azormx,Supreme Honkifex,0,3,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Zaran,haruo30,3,1,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Sola,Twillie,3,0,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Loona,Solstice,0,-1,Losers Round 3,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Queenie,Tarik,1,3,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Kunbuns,HEARTS,0,3,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
CreakyAxe,Ronincat,3,1,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Tenack,ArticPeach,-1,0,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
KidFrost,KudoGio,0,-1,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Lavender_B,Mio,3,0,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
A.B.Y,mike_Saftig,0,-1,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
CPU,PORK LAZER,-1,0,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Somnium,Z_Guy,3,1,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Fresh,JayC,3,0,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
SquidgeLuke,Turkwise,3,2,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
DarthPhallus,HowDoIBlock?,0,-1,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Supreme Honkifex,Pixilated_max,3,2,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Apotheosis,haruo30,-1,0,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Twillie,saturnnz,3,2,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
WC 44 ONLY,Solstice,-1,0,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Miguel,Jdjones,2,3,Winners Final,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Solstice,Asar,-1,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Marvelo,saturnnz,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
WC 44 ONLY,Lamayo,-1,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Lurry,Twillie,3,1,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Zintai,haruo30,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
BeefyManatee,Pixilated_max,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Zippy,Supreme Honkifex,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Apotheosis,SonAceKeem,0,3,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Papple,Turkwise,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
HowDoIBlock?,Dahviess,-1,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Aidenspro,SquidgeLuke,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Mundank,DarthPhallus,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
MacMens,Z_Guy,3,1,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Petrafied,JayC,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Risetto,Mike Nada,3,1,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
BlueHek997,Somnium,3,1,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Miguel,PORK LAZER,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
mike_Saftig,EloDad,-1,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
A.B.Y,Sola,2,3,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Loona,CPU,3,2,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Osmosis,Mio,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
