,opponent,result,score,round,tourneyName,eventName,date
206,Zintai,win,3-1,Winners Round 3,tns-guilty-gear-strive-65-crossplay,guilty-gear-strive-crossplay,2023-01-16
207,MFCR,win,3-1,Losers Quarter-Final,tns-guilty-gear-strive-65-crossplay,guilty-gear-strive-crossplay,2023-01-16
208,K20T00,win,3-0,Winners Round 2,tns-guilty-gear-strive-65-crossplay,guilty-gear-strive-crossplay,2023-01-16
209,Free,win,3-0,Winners Round 2,9moons-weekly-46-crossplay,double-elimination-bracket,2023-01-21
210,Corey,loss,1-3,Winners Final,9moons-weekly-46-crossplay,double-elimination-bracket,2023-01-21
211,UMISHO,loss,1-3,Losers Final,9moons-weekly-46-crossplay,double-elimination-bracket,2023-01-21
212,Memokarp,win,3-1,Winners Semi-Final,9moons-weekly-46-crossplay,double-elimination-bracket,2023-01-21
213,Elucid,win,3-0,Winners Quarter-Final,9moons-weekly-46-crossplay,double-elimination-bracket,2023-01-21
214,Remi Celeste,win,3-0,Winners Semi-Final,9moons-weekly-46-crossplay,double-elimination-bracket,2023-01-21
215,Kaiina,win,3-0,Winners Round 3,9moons-weekly-46-crossplay,double-elimination-bracket,2023-01-21
216,Marvelo,loss,0-3,Losers Final,tns-guilty-gear-strive-66-crossplay,guilty-gear-strive-crossplay,2023-01-23
217,Rat,win,3-1,Winners Semi-Final,tns-guilty-gear-strive-66-crossplay,guilty-gear-strive-crossplay,2023-01-23
218,iDom,win,3-0,Winners Round 1,tns-guilty-gear-strive-66-crossplay,guilty-gear-strive-crossplay,2023-01-23
219,Genericnamebrand,win,3-0,Winners Semi-Final,tns-guilty-gear-strive-66-crossplay,guilty-gear-strive-crossplay,2023-01-23
220,Elucid,win,3-1,Winners Quarter-Final,tns-guilty-gear-strive-66-crossplay,guilty-gear-strive-crossplay,2023-01-23
221,NBNHMR,loss,1-3,Winners Final,tns-guilty-gear-strive-66-crossplay,guilty-gear-strive-crossplay,2023-01-23
222,programmersocks,win,3-0,Winners Round 2,tns-guilty-gear-strive-66-crossplay,guilty-gear-strive-crossplay,2023-01-23
223,Marvelo,win,3-0,Winners Quarter-Final,tns-guilty-gear-strive-66-crossplay,guilty-gear-strive-crossplay,2023-01-23
224,iDom,win,3-0,Round 1,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
225,Remi Celeste,win,3-1,Round 1,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
226,JayRain,win,3-1,Round 1,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
227,Dwarl Warberry,win,3-0,Round 1,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
228,noobreker9000,win,3-0,Round 1,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
229,Purified,win,3-0,Round 1,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
230,Remi Celeste,win,3-1,Round 1,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
231,JayRain,win,3-1,Round 1,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
232,Solstice,loss,2-3,Losers Semi-Final,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
233,HonoredOgre,win,3-1,Losers Quarter-Final,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
234,DomiWurld,win,3-0,Losers Round 1,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
235,UMISHO,loss,0-3,Winners Quarter-Final,run-it-thursdays-27-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-01-26
236,Acorn,win,3-0,Winners Round 2,9moons-weekly-47-crossplay,double-elimination-bracket,2023-01-28
237,Lolo,win,3-2,Losers Round 1,9moons-weekly-47-crossplay,double-elimination-bracket,2023-01-28
238,Marvelo,win,3-1,Losers Quarter-Final,9moons-weekly-47-crossplay,double-elimination-bracket,2023-01-28
239,Walter,loss,2-3,Losers Semi-Final,9moons-weekly-47-crossplay,double-elimination-bracket,2023-01-28
240,doren2k,win,3-1,Losers Round 6,9moons-weekly-47-crossplay,double-elimination-bracket,2023-01-28
241,Remi Celeste,win,3-0,Losers Quarter-Final,9moons-weekly-47-crossplay,double-elimination-bracket,2023-01-28
242,Diaphone,win,3-1,Losers Round 7,9moons-weekly-47-crossplay,double-elimination-bracket,2023-01-28
243,Lolo,loss,1-3,Winners Quarter-Final,9moons-weekly-47-crossplay,double-elimination-bracket,2023-01-28
244,Young_Lz_23,win,3-0,Winners Round 3,9moons-weekly-47-crossplay,double-elimination-bracket,2023-01-28
245,JahDrop,win,3-0,Winners Round 2,9moons-monthly-16-benefitting-the-ablegamers-charity-crossplay,double-elimination-bracket,2023-02-11
246,druice,win,3-0,Losers Final,9moons-monthly-16-benefitting-the-ablegamers-charity-crossplay,double-elimination-bracket,2023-02-11
247,NBNHMR,loss,0-3,Winners Final,9moons-monthly-16-benefitting-the-ablegamers-charity-crossplay,double-elimination-bracket,2023-02-11
248,Dany,win,3-2,Winners Semi-Final,9moons-monthly-16-benefitting-the-ablegamers-charity-crossplay,double-elimination-bracket,2023-02-11
249,Sunlight,win,3-0,Winners Round 3,9moons-monthly-16-benefitting-the-ablegamers-charity-crossplay,double-elimination-bracket,2023-02-11
250,Trevor Tsu,win,3-2,Winners Semi-Final,9moons-monthly-16-benefitting-the-ablegamers-charity-crossplay,double-elimination-bracket,2023-02-11
251,BEPaw,win,3-1,Winners Quarter-Final,9moons-monthly-16-benefitting-the-ablegamers-charity-crossplay,double-elimination-bracket,2023-02-11
252,NBNHMR,win,3-1,Grand Final,9moons-monthly-16-benefitting-the-ablegamers-charity-crossplay,double-elimination-bracket,2023-02-11
253,NBNHMR,loss,0-3,Grand Final Reset,9moons-monthly-16-benefitting-the-ablegamers-charity-crossplay,double-elimination-bracket,2023-02-11
254,Nub,win,3-0,Round 1,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
255,BEPaw,win,3-1,Winners Quarter-Final,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
256,Rat,win,3-1,Winners Semi-Final,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
257,Kreator,win,3-2,Winners Final,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
258,Rat,win,3-0,Grand Final,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
259,midiMugen,win,3-2,Round 1,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
260,Rat,loss,2-3,Round 1,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
261,| butter-punch,win,3-2,Round 1,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
262,PineappleHour,win,3-0,Round 1,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
263,FlashMetroid,win,3-0,Round 1,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
264,GAPPED!,win,3-0,Round 1,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
265,Somnium,win,3-1,Round 1,run-it-thursdays-30-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-crossplay,2023-02-16
266,Diegubis,win,3-2,Winners Quarter-Final,tns-guilty-gear-strive-69-crossplay,guilty-gear-strive-crossplay,2023-02-20
267,druice,win,3-1,Winners Final,tns-guilty-gear-strive-69-crossplay,guilty-gear-strive-crossplay,2023-02-20
268,ren,win,3-1,Winners Round 2,tns-guilty-gear-strive-69-crossplay,guilty-gear-strive-crossplay,2023-02-20
269,PORK LAZER,win,3-1,Winners Round 1,tns-guilty-gear-strive-69-crossplay,guilty-gear-strive-crossplay,2023-02-20
270,Tensorial,win,3-0,Winners Semi-Final,tns-guilty-gear-strive-69-crossplay,guilty-gear-strive-crossplay,2023-02-20
271,Shin_Phil,win,3-2,Winners Round 3,tns-guilty-gear-strive-69-crossplay,guilty-gear-strive-crossplay,2023-02-20
272,druice,win,3-1,Grand Final,tns-guilty-gear-strive-69-crossplay,guilty-gear-strive-crossplay,2023-02-20
273,S(Cam)bolini,win,3-1,Winners Quarter-Final,tns-guilty-gear-strive-69-crossplay,guilty-gear-strive-crossplay,2023-02-20
274,druice,win,3-1,Losers Quarter-Final,9moons-weekly-48-crossplay-1,double-elimination-bracket,2023-02-25
275,Remi Celeste,loss,1-3,Losers Semi-Final,9moons-weekly-48-crossplay-1,double-elimination-bracket,2023-02-25
276,Dany,loss,2-3,Winners Semi-Final,9moons-weekly-48-crossplay-1,double-elimination-bracket,2023-02-25
277,NewbieSani,win,3-1,Winners Round 2,9moons-weekly-48-crossplay-1,double-elimination-bracket,2023-02-25
278,Flare_g,win,3-0,Winners Quarter-Final,9moons-weekly-48-crossplay-1,double-elimination-bracket,2023-02-25
279,Remi Celeste,win,3-1,Winners Semi-Final,9moons-weekly-48-crossplay-1,double-elimination-bracket,2023-02-25
280,Somnium,win,3-0,Winners Round 3,9moons-weekly-48-crossplay-1,double-elimination-bracket,2023-02-25
281,UMISHO,win,3-2,Winners Final,tns-guilty-gear-strive-71-crossplay,guilty-gear-strive-crossplay,2023-03-06
282,Marvelo,win,3-2,Winners Quarter-Final,tns-guilty-gear-strive-71-crossplay,guilty-gear-strive-crossplay,2023-03-06
283,Boomguy2,win,3-0,Winners Round 2,tns-guilty-gear-strive-71-crossplay,guilty-gear-strive-crossplay,2023-03-06
284,Jdjones,win,3-0,Winners Round 3,tns-guilty-gear-strive-71-crossplay,guilty-gear-strive-crossplay,2023-03-06
285,Trevwerd,win,3-0,Winners Quarter-Final,tns-guilty-gear-strive-71-crossplay,guilty-gear-strive-crossplay,2023-03-06
286,UMISHO,win,3-0,Grand Final,tns-guilty-gear-strive-71-crossplay,guilty-gear-strive-crossplay,2023-03-06
287,iDom,win,3-2,Winners Round 1,tns-guilty-gear-strive-71-crossplay,guilty-gear-strive-crossplay,2023-03-06
288,Dany,win,3-1,Winners Semi-Final,tns-guilty-gear-strive-71-crossplay,guilty-gear-strive-crossplay,2023-03-06
