,opponent,result,score,round,tourneyName,eventName,date
22,Marvelo,win,3-0,Winners Semi-Final,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
23,Marvelo,win,3-1,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
24,Rat,loss,2-3,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
25,Nysos,win,3-0,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
26,.jretion,win,3-2,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
27,KudoGio,win,3-0,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
28,Nagato,win,3-2,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
29,KudoGio,win,3-0,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
30,Mango4Tango,win,3-0,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
31,Trey,win,3-0,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
32,Frosted,win,3-0,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
33,.jretion,win,3-2,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
34,werngee,win,3-0,Round 1,run-it-thursdays-9-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-08
35,Testyourluck,loss,1-3,Winners Quarter-Final,tns-guilty-gear-strive-52-pc,guilty-gear-strive-pc,2022-09-12
36,Razzo,loss,0-3,Losers Round 3,tns-guilty-gear-strive-52-pc,guilty-gear-strive-pc,2022-09-12
37,BEPaw,win,3-0,Winners Quarter-Final,tns-guilty-gear-strive-52-pc,guilty-gear-strive-pc,2022-09-12
38,Marvelo,win,3-2,Winners Semi-Final,tns-guilty-gear-strive-52-pc,guilty-gear-strive-pc,2022-09-12
39,| butter-punch,win,3-0,Winners Round 2,tns-guilty-gear-strive-52-pc,guilty-gear-strive-pc,2022-09-12
40,Diaphone,loss,2-3,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
41,Walter,win,3-1,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
42,Marvelo,loss,2-3,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
43,Marvelo,win,3-1,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
44,SBZ,win,3-0,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
45,Diaphone,win,3-0,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
46,Kazam,loss,1-3,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
47,MacMens,win,3-1,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
48,Diaphone,win,3-0,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
49,SBZ,win,3-0,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
50,Solstice,loss,2-3,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
51,Remi Celeste,win,3-1,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
52,Macho,win,3-1,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
53,Xerker,win,3-0,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
54,Groovy,win,3-0,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
55,Bowline,win,3-0,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
56,Coffee,win,2-0,Round 1,run-it-thursdays-12-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-09-29
57,Marvelo,win,3-2,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
58,PootieDelight,win,3-0,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
59,Tilted,win,3-0,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
60,Remi Celeste,loss,1-3,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
61,Ferno,win,3-0,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
62,GillGC,win,3-0,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
63,Remi Celeste,loss,2-3,Losers Quarter-Final,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
64,Solstice,win,3-1,Winners Quarter-Final,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
65,UMISHO,loss,1-3,Winners Semi-Final,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
66,Macho,win,3-0,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
67,Solstice,win,3-0,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
